AbradeEquipments	0x08107aa0
NumOfSignUpTongs	0x080fdef0
Number2Int	0x080fe900
Number2UInt	0x080fe8a0
OB_Append	0x080ff710
OB_Clear	0x080fc360
OB_Copy	0x080ff870
OB_Create	0x08130230
OB_IsEmpty	0x080fc280
OB_PopByte	0x08128e30
OB_PopDouble	0x08100220
OB_PopInt	0x08128d30
OB_PopString	0x08100320
OB_PushByte	0x0812f2d0
OB_PushDouble	0x0812f150
OB_PushInt	0x0812efc0
OB_PushString	0x08130b90
OB_Release	0x08130440
ObjName2Relace	0x08100660
OfflineLive	0x08103020
OpenAllTask	0x081137c0
OpenBox	0x081299f0
OpenCardBack	0x080fb810
OpenCityManageUI	0x08115a40
OpenCreateTask	0x081139e0
OpenDice	0x081148a0
OpenGlbMission	0x08131890
OpenHelp	0x08116490
OpenMission	0x081332f0
OpenOwnTask	0x08113730
OpenProgressBar	0x081082d0
OpenStoreBox	0x0810ee70
OpenStores	0x08122ad0
OpenSubmitAuction	0x081135c0
OpenTongCamp	0x08114470
OpenTongZhaoMu	0x0811af70
OpenWatchGameInputDlg	0x081c1890
OutputMonsterPos	0x08128730
PARTNER	0x08244489
PARTNER_AddDefenceAptitude	0x0816eae0
PARTNER_AddEmotionDegree	0x0816cdd0
PARTNER_AddExp	0x0816de60
PARTNER_AddFightPartner	0x0816c400
PARTNER_AddHitTargetRateAptitude	0x0816ec00
PARTNER_AddLifeAptitude	0x0816ee40
PARTNER_AddLuckAptitude	0x0816e8a0
PARTNER_AddSkill	0x0816d9d0
PARTNER_AddSpeedAptitude	0x0816e9c0
PARTNER_AddState	0x0816d240
PARTNER_AddStrengthAptitude	0x0816ed20
PARTNER_CallOutCurPartner	0x0816c160
PARTNER_ChangeCharacter	0x0816f370
PARTNER_ChangeFeature	0x0816e710
PARTNER_ChangeFeatureOfPeriod	0x0816e570
PARTNER_Count	0x0816bf50
PARTNER_GetAllSkill	0x0816ef60
PARTNER_GetAptitudes	0x0816e450
PARTNER_GetAttribs	0x0816e330
PARTNER_GetAttribsInc	0x0816e210
PARTNER_GetBirthday	0x0816f480
PARTNER_GetCharacter	0x0816f560
PARTNER_GetCurPartner	0x0816bfd0
PARTNER_GetEmotionDegree	0x0816c940
PARTNER_GetEndure	0x0816c790
PARTNER_GetEssentialFeatureID	0x0816dbc0
PARTNER_GetExp	0x0816dfd0
PARTNER_GetGenData	0x0816f640
PARTNER_GetLevel	0x0816dd80
PARTNER_GetName	0x0816c6c0
PARTNER_GetResists	0x0816e0a0
PARTNER_GetSeries	0x0816dca0
PARTNER_GetSettingIdx	0x0816c870
PARTNER_GetSkillInfo	0x0816f1f0
PARTNER_GetTaskValue	0x0816cba0
PARTNER_LevelUp	0x0816ca10
PARTNER_ReGenAttribsInc	0x0816d900
PARTNER_RemoveAllSkill	0x0816d650
PARTNER_RemovePartner	0x0816c320
PARTNER_RemoveSkill	0x0816fe40
PARTNER_SetAttribs	0x0816fa80
PARTNER_SetCallOutSwitch	0x0816c060
PARTNER_SetCurPartner	0x0816c240
PARTNER_SetEmotionDegree	0x0816cf60
PARTNER_SetName	0x0816d0f0
PARTNER_SetResists	0x0816f870
PARTNER_SetStandbySkill	0x0816f710
PARTNER_SetTaskValue	0x0816d4c0
PET_AddAttrib	0x081d6950
PET_AddUpgradePoint	0x081d7040
PET_ClearAttrib	0x081d6d20
PET_ClearSkill	0x081d6ce0
PET_Create	0x081d6f00
PET_Delete	0x081d6d60
PET_GetAttrib	0x081d64f0
PET_GetDex	0x081d6430
PET_GetEng	0x081d6370
PET_GetFeatureId	0x081d61c0
PET_GetGrownPoint	0x081d5fe0
PET_GetLevel	0x081d60e0
PET_GetLife	0x081d6310
PET_GetMana	0x081d62b0
PET_GetName	0x081d7180
PET_GetSkill	0x081d6b80
PET_GetStr	0x081d6490
PET_GetTamePoint	0x081d5f90
PET_GetUpgradePoint	0x081d6150
PET_GetVit	0x081d63d0
PET_IsCreate	0x081d6080
PET_IsSummon	0x081d6030
PET_SetAttrib	0x081d6a20
PET_SetDex	0x081d6810
PET_SetEng	0x081d66d0
PET_SetFeatureId	0x081d6e60
PET_SetGrownPoint	0x081d6230
PET_SetLevel	0x081d6dc0
PET_SetLife	0x081d6630
PET_SetMana	0x081d6590
PET_SetName	0x081d6fc0
PET_SetSkill	0x081d6c20
PET_SetStr	0x081d68b0
PET_SetTamePoint	0x081d5f10
PET_SetUpgradePoint	0x081d70e0
PET_SetVit	0x081d6770
PET_Summon	0x081d6b30
PET_UnSummon	0x081d6ae0
PIdx2MSDIdx	0x08136d90
PIdx2NpcIdx	0x080fd630
PartnerBeDrawBack	0x082604d1
PartnerBloodFallQuickly	0x08260469
PartnerBloodLess	0x08260451
PartnerCallout	0x08260440
PartnerCastToHost	0x08250931
PartnerKillAnimal	0x0826047b
PartnerKillBoss	0x0826048b
PartnerKillPartner	0x082604b0
PartnerKillPlayer	0x0826049d
PartnerLevelUp	0x082604bf
Pay	0x08118a90
PayCoin	0x08118720
PayExtPoint	0x0810fca0
PayRetScoreForGoldCoin	0x08118620
Pendant	0x0825868b
PlayMusic	0x0810e8e0
PopString	0x080ffb00
PreApplyDungeonMap	0x08126fe0
PrePay	0x08118870
PreviewPlatinaFromGold	0x0811e8c0
PreviewPlatinaUpgrade	0x0811e6f0
PrintLuaStack	0x08104240
Prise	0x08124950
PushString	0x0812fda0
PutMessage	0x08116f80
QueryAuctionItemInfo	0x08113500
QueryMapTrap	0x081028c0
QueryRoleName	0x0810aa50
QueryTongName	0x0810a1a0
QueryWiseMan	0x08113830
QueryWiseManForSB	0x0811a270
RESR0	0x0826d586
RESR1	0x0826d58c
RESR2	0x08264cbc
RESR3	0x0826d59e
RangeWeapon	0x0826a5de
ReduceArenaCredits	0x08107e40
ReduceEnergy	0x08107c00
ReduceOwnExp	0x08112630
ReduceRespect	0x0812cfe0
ReloadSkill	0x08104c40
RemoteExecute	0x08100740
RemoveAllPlayerEvent	0x0810c3e0
RemoveItemByIndex	0x08114f80
RemoveNpcSkillState	0x08105700
RemoveOpenCardUiItem	0x080fb800
RemovePlayerEvent	0x0810c440
RemoveSkillState	0x08110140
RenameRole	0x0810a9c0
RenameTong	0x0810a010
Repair_Open	0x08116460
ReplaceString	0x0812eb20
RestoreCamp	0x0811b0e0
RestoreLife	0x08112480
RestoreMana	0x08112430
RestoreNpcFeature	0x081035c0
RestoreOwnFeature	0x0810cb20
RestoreStamina	0x081123e0
ResumeTimer	0x08100b60
ReturnDungenonMap	0x08126e10
ReturnFromPortal	0x081178c0
RevID2WXY	0x08114790
RevivalAllNpc	0x08107130
RightFillString	0x0812e080
RightTrimString	0x080fba50
Ring	0x08253248
RollItem	0x081c16d0
RollbackSkill	0x0811c640
RunGlbMission	0x08132380
RunMission	0x08132e50
SETTING	0x08244489
STAT_CleanGoodsSaleNum	0x08177050
STAT_GetGoodsCount	0x08176b10
STAT_GetGoodsName	0x08176d50
STAT_GetGoodsSaleNum	0x081770c0
STAT_SearchGoodsSaledItem	0x08176b40
ST_CheckLockState	0x081c1490
ST_CheckTextFilter	0x081c2ad0
ST_DoTransLife	0x081c2990
ST_GetDamageCounter	0x081c1330
ST_GetOffliveState	0x081c29f0
ST_GetTransLifeCount	0x081c1100
ST_IncreaseDamageCounter	0x081c1380
ST_IsTransLife	0x081c1160
ST_LevelUp	0x081c2a60
ST_SetPlayerGameTime	0x081c1240
ST_SetTransLifeCount	0x081c2900
ST_StartDamageCounter	0x081c12f0
ST_StopDamageCounter	0x081c12b0
ST_SyncMiniMapObj	0x081c1930
ST_UseCurCampTeam	0x081c11c0
Sale	0x08122d00
SaveMaskFeature	0x08115140
SaveNow	0x08111ed0
SaveQuickly	0x08111f00
SaveSDB2Relay	0x08105960
Say	0x08123c90
SearchPlayer	0x081020a0
SearchPlayerByNameID	0x08102120
SelectTaskAward	0x08174530
SelectTaskFinish	0x081745e0
SelectTaskStart	0x08174690
SendScriptData	0x0810b220
SendSpreaderCDKey	0x081c24e0
SendTaskOrder	0x08117100
Set120SkillID	0x08114b90
SetAForbitSkill	0x08121580
SetArenaCredits	0x0812b6d0
SetAutoHangFreeFlag	0x080fe110
SetAutoHangMapFlag	0x08126690
SetBit	0x080feac0
SetBitTask	0x08108f10
SetByte	0x080fe950
SetCamp	0x0811b2e0
SetChatFlag	0x08111460
SetColdR	0x08113b20
SetCouldDisbandTong	0x081bfed0
SetCouldKickTong	0x081bff20
SetCouldQuitTong	0x081bff70
SetCreateTeam	0x08120fc0
SetCumulateOffer	0x08113e80
SetCurCamp	0x0811b1d0
SetCurDurability	0x0810f090
SetDeathPunish_PK10	0x08110680
SetDeathReliveFlag	0x08110600
SetDeathScript	0x08110700
SetDeathType	0x08110580
SetDebugOut	0x080fd140
SetDelDupedAllInOne	0x08101f40
SetDelayCatchTime	0x0814e880
SetDisabledFuncFlag	0x08126790
SetDupedDealLevel	0x08102000
SetEnergy	0x08107b30
SetEquipWishValue	0x080fcc20
SetFaction	0x0811a540
SetFightState	0x08117a10
SetFireR	0x08112f40
SetFusionIsSmelted	0x0810a610
SetFusionMagicSeed	0x0810a530
SetGlbMissionV	0x080fd740
SetGlbValue	0x080fe2f0
SetGlobalTradeFlag	0x08108760
SetHide	0x0810ad80
SetHighLightPos	0x0810dfa0
SetImmedSkill	0x08114c70
SetIsCheckNpcBarrier	0x08118c40
SetItemBindState	0x08127630
SetItemExchangeValue	0x08101b20
SetItemFortuneValue	0x08101a30
SetItemMagicLevel	0x080fd020
SetItemNewFeature	0x080fdbc0
SetItemStackCount	0x0810d9a0
SetJoinTongTime	0x08121180
SetLastBreakTime	0x080fcb50
SetLastFactionNumber	0x0810e4b0
SetLastLogoutTime	0x0810b7e0
SetLastOfflineTime	0x0810b8e0
SetLightR	0x08112c90
SetLogoutRV	0x08110500
SetLucky	0x08111b00
SetMangonelParam	0x081217e0
SetMapParam	0x080fe480
SetMapType	0x080fe630
SetMaxDurability	0x0810f1f0
SetMaxResist	0x08108cd0
SetMissionS	0x08107220
SetMissionV	0x08107390
SetMissleStep	0x080fdb70
SetMoveSpeed	0x081216c0
SetNpcAI	0x08103f40
SetNpcActiveRegion	0x08104110
SetNpcAuraSkill	0x081057b0
SetNpcCurCamp	0x0811b120
SetNpcCurLife	0x080fc060
SetNpcDeathScript	0x08101500
SetNpcExpRate	0x081c0ae0
SetNpcFightState	0x08117940
SetNpcKind	0x08103da0
SetNpcParam	0x081c0260
SetNpcPos	0x0811b830
SetNpcScript	0x08101500
SetNpcTimer	0x080fc180
SetOnlineCommissionStatus	0x08109230
SetPK	0x08110420
SetPKFlag	0x0810f610
SetPMParam	0x0812afa0
SetPartnerBagLevel	0x0811a7b0
SetPhyR	0x08112750
SetPkReduceState	0x08109570
SetPlatinaMagicIndex	0x080fc710
SetPlayerEnteringTrap	0x081112f0
SetPlayerFlag	0x0810b5d0
SetPlayerFortuneRank	0x0810aba0
SetPlayerLog	0x08111250
SetPoisonCount	0x0810aec0
SetPoisonR	0x081129f0
SetPos	0x0811b940
SetPotionCount	0x0810aec0
SetProgressBarEvent	0x080fc4d0
SetPropState	0x081069b0
SetProtectTime	0x0810e3e0
SetPunish	0x0810f470
SetRandSeed	0x0811dc00
SetRank	0x081109e0
SetRefuseLogin	0x0814eb00
SetRelaxTime	0x08110fc0
SetRespect	0x081080b0
SetRevPos	0x0811b370
SetSeries	0x0811a0c0
SetSex	0x08116560
SetSiegeVoitureParam	0x081218e0
SetSignCodeSyncTime	0x0814e900
SetSkillLevel	0x0812c430
SetSkillMaxLevelAddons	0x08108b70
SetSpecItemParam	0x080ff360
SetStatData	0x080ff480
SetStoneLevelOnEquip	0x080fc880
SetStringTask	0x081165f0
SetSwitch	0x08102f80
SetTask	0x08116780
SetTaskStatus	0x08174b70
SetTaskTemp	0x08123950
SetTempRevPos	0x08110790
SetTimer	0x08122a30
SetTireTime	0x08111040
SetTmpCamp	0x0810ba50
SetTmpValue	0x081749f0
SetTongMTask	0x08128a20
SetTongWeek	0x08113cd0
SetTotalOffer	0x08114030
SetUiGiveItemMoreConfirmMsg	0x0810af50
SetUiGiveItemMsg	0x0810b020
SetWeekGoalOffer	0x0811a650
SetWeeklyOffer	0x081141e0
SetWorldName	0x0812b7c0
ShowLadder	0x081101d0
SmeltEquip	0x0810a8d0
SmeltItem	0x08116d50
StackExp	0x08108980
StarLevelUp	0x0810a430
StartBotDeleteAccount	0x0814ebd0
StartBotPunish	0x0814ec30
StartGlbMSTimer	0x08138340
StartMissionTimer	0x08138840
StartPoisonCounter	0x0810b1e0
StartPotionCounter	0x0810b1e0
StartTask	0x081748e0
StopGlbMSTimer	0x08133d80
StopMissionTimer	0x08134720
StopNpcAction	0x08118dd0
StopPoisonCounter	0x0810ae30
StopPotionCounter	0x0810ae30
StopTimer	0x08122a00
String2Id	0x08104bd0
SubWorldID2Idx	0x08102580
SubWorldIdx2ID	0x081077d0
SubWorldIdx2MapCopy	0x08107740
SubWorldName	0x08174390
SuspendTimer	0x08100c00
SwearBrother	0x0812c860
SyncBiaoCheDeathInfoToRelay	0x08104c80
SyncCitySummary	0x081160a0
SyncClothesItemPreView	0x0811ea80
SyncIsCheckNpcBarrier	0x08118c10
SyncItem	0x08114ef0
SyncNpc	0x08103ed0
SyncTaskValue	0x0810e350
SyncTaskValueMore	0x0810e240
SyncWorkshopList	0x0811ad90
TM_GetRestCount	0x081c21a0
TM_GetRestTime	0x081c2260
TM_GetTimerCount	0x081c2130
TM_HasTimer	0x081c1e30
TM_IsTimerSuspending	0x081c1ef0
TM_ResumeTimer	0x081c1fb0
TM_SetTimer	0x081c23c0
TM_StopTimer	0x081c2330
TM_SuspendTimer	0x081c2070
TONGM_ApplyAddOffer	0x08198720
TONGM_ApplyAddOfferEx	0x081909d0
TONGM_ApplyAddRight	0x08198600
TONGM_ApplyAddTaskValue	0x081989a0
TONGM_ApplyAddUTaskValue	0x081988a0
TONGM_ApplyDelRight	0x081984e0
TONGM_ApplySetLWeekGoalOffer	0x08199740
TONGM_ApplySetLWeeklyOffer	0x08199b20
TONGM_ApplySetLastOnlineDate	0x08199360
TONGM_ApplySetRetireDate	0x08198f80
TONGM_ApplySetTaskValue	0x08198aa0
TONGM_CheckRight	0x081983b0
TONGM_GetFigure	0x08199ec0
TONGM_GetJoinDay	0x0819a520
TONGM_GetJoinTime	0x0819a660
TONGM_GetLWeekGoalOffer	0x081998c0
TONGM_GetLWeeklyOffer	0x08199ca0
TONGM_GetLastOnlineDate	0x081994e0
TONGM_GetMoney	0x0819a3e0
TONGM_GetName	0x08198d60
TONGM_GetOffer	0x08198800
TONGM_GetOnline	0x08199db0
TONGM_GetRetireDate	0x08199100
TONGM_GetSex	0x0819a000
TONGM_GetTaskValue	0x08198c80
TONGM_GetUTaskValue	0x08198ba0
TONGM_IsExist	0x08198350
TONG_AddTaskTemp	0x0818b280
TONG_ApplyAddBuildFund	0x08194650
TONG_ApplyAddDay	0x081959d0
TONG_ApplyAddEventRecord	0x0818bfe0
TONG_ApplyAddHistoryRecord	0x0818c090
TONG_ApplyAddLWeekGoalValue	0x08195010
TONG_ApplyAddMoney	0x0818be50
TONG_ApplyAddPerStandFund	0x08193150
TONG_ApplyAddStoredBuildFund	0x08195a90
TONG_ApplyAddStoredOffer	0x08195c10
TONG_ApplyAddTaskValue	0x08196450
TONG_ApplyAddTotalBuildFund	0x08194b90
TONG_ApplyAddUTaskValue	0x0818ad50
TONG_ApplyAddWarBuildFund	0x08194410
TONG_ApplyAddWeek	0x08195910
TONG_ApplyAddWeekBuildFund	0x08194d10
TONG_ApplyAddWeekGoalValue	0x08195550
TONG_ApplyCreatMap	0x081905c0
TONG_ApplyDegrade	0x0818fcc0
TONG_ApplyDeleteMap	0x08190720
TONG_ApplyDeleteMember	0x08190510
TONG_ApplyInit	0x0818fac0
TONG_ApplyKickMember	0x08190310
TONG_ApplyMaintain	0x0818fe40
TONG_ApplySetAnnouncement	0x0818c140
TONG_ApplySetBuildFund	0x08192cd0
TONG_ApplySetCurWeekGoalLevel	0x08191ad0
TONG_ApplySetDay	0x081926d0
TONG_ApplySetLWeekGoalEvent	0x08192010
TONG_ApplySetLWeekGoalLevel	0x08191f50
TONG_ApplySetLWeekGoalPlayer	0x08191dd0
TONG_ApplySetLWeekGoalPricePlayer	0x08191b90
TONG_ApplySetLWeekGoalPriceTong	0x08191c50
TONG_ApplySetLWeekGoalTotal	0x08191e90
TONG_ApplySetLWeekGoalValue	0x08191d10
TONG_ApplySetMaintainFund	0x08192850
TONG_ApplySetMoney	0x0818fa10
TONG_ApplySetOccupyCityDay	0x08192d90
TONG_ApplySetPauseState	0x081929d0
TONG_ApplySetPerStandFund	0x081917d0
TONG_ApplySetStoredBuildFund	0x08192790
TONG_ApplySetStoredOffer	0x08192910
TONG_ApplySetStunt	0x081908f0
TONG_ApplySetTaskValue	0x0818ae40
TONG_ApplySetTongMap	0x08190670
TONG_ApplySetTongMapBan	0x0818af30
TONG_ApplySetTotalBuildFund	0x08191890
TONG_ApplySetWarBuildFund	0x08192a90
TONG_ApplySetWeek	0x08192610
TONG_ApplySetWeekBuildFund	0x08191a10
TONG_ApplySetWeekBuildUpper	0x08191950
TONG_ApplySetWeekGoalEvent	0x08192550
TONG_ApplySetWeekGoalLevel	0x08192490
TONG_ApplySetWeekGoalPlayer	0x08192310
TONG_ApplySetWeekGoalPricePlayer	0x081920d0
TONG_ApplySetWeekGoalPriceTong	0x08192190
TONG_ApplySetWeekGoalTotal	0x081923d0
TONG_ApplySetWeekGoalValue	0x08192250
TONG_ApplyUpgrade	0x0818fb40
TONG_ApplyWeeklyMaintain	0x0818fec0
TONG_ChangeAllMemberFeature	0x081907a0
TONG_ContributeOffer	0x081968c0
TONG_DistributeOfferToGroup	0x08197f70
TONG_DistributeOfferToMember	0x08197a70
TONG_GetBuildFund	0x0818d560
TONG_GetBuildLevel	0x0818d600
TONG_GetCredit	0x0818c7b0
TONG_GetCurCamp	0x0818c670
TONG_GetCurWeekGoalLevel	0x0818f2c0
TONG_GetDay	0x0818dec0
TONG_GetExp	0x0818c8f0
TONG_GetExpLevel	0x0818ca30
TONG_GetFirstMember	0x08197880
TONG_GetFirstTong	0x0818a680
TONG_GetLWeekGoalEvent	0x0818ea00
TONG_GetLWeekGoalLevel	0x0818eb40
TONG_GetLWeekGoalPlayer	0x0818edc0
TONG_GetLWeekGoalPricePlayer	0x0818f180
TONG_GetLWeekGoalPriceTong	0x0818f040
TONG_GetLWeekGoalTotal	0x0818ec80
TONG_GetLWeekGoalValue	0x0818ef00
TONG_GetMaintainFund	0x0818dc40
TONG_GetMaster	0x08197ec0
TONG_GetMemberCount	0x0818ff40
TONG_GetMoney	0x0818f900
TONG_GetName	0x0818ac80
TONG_GetNextMember	0x08197c10
TONG_GetNextTong	0x0818b4c0
TONG_GetOccupyCityDay	0x0818d380
TONG_GetOnlineCount	0x0818fff0
TONG_GetPauseState	0x0818d9c0
TONG_GetPerStandFund	0x0818f860
TONG_GetPremium	0x0818d740
TONG_GetSelfCamp	0x0818c530
TONG_GetStandFund	0x0818cf10
TONG_GetStoredBuildFund	0x0818dd80
TONG_GetStoredOffer	0x0818db00
TONG_GetTaskTemp	0x08190260
TONG_GetTaskValue	0x081900a0
TONG_GetTongByRoleName	0x0819a700
TONG_GetTongCount	0x0818a6c0
TONG_GetTongMap	0x0818d060
TONG_GetTongMapBan	0x0818d240
TONG_GetTongMapTemplate	0x0818d1a0
TONG_GetTotalBuildFund	0x0818f680
TONG_GetUTaskValue	0x08190180
TONG_GetUnionID	0x0818cbf0
TONG_GetWarBuildFund	0x0818d920
TONG_GetWarState	0x0818cd30
TONG_GetWeek	0x0818e000
TONG_GetWeekBuildFund	0x0818f400
TONG_GetWeekBuildUpper	0x0818f540
TONG_GetWeekGoalEvent	0x0818e140
TONG_GetWeekGoalLevel	0x0818e280
TONG_GetWeekGoalPlayer	0x0818e500
TONG_GetWeekGoalPricePlayer	0x0818e8c0
TONG_GetWeekGoalPriceTong	0x0818e780
TONG_GetWeekGoalTotal	0x0818e3c0
TONG_GetWeekGoalValue	0x0818e640
TONG_IsExist	0x08190890
TONG_Name2ID	0x0818b600
TONG_SetTaskTemp	0x0818b350
TONG_WriteLog	0x0818b5a0
TRepair	0x08123000
TW	0x08250ae3
TWS_ApplyAdd	0x0818bce0
TWS_ApplyAddDayOutput	0x08196fa0
TWS_ApplyAddTaskValue	0x0818a810
TWS_ApplyAddUTaskValue	0x0818a6f0
TWS_ApplyClose	0x0818baa0
TWS_ApplyDegrade	0x08196540
TWS_ApplyMaintain	0x0818b9e0
TWS_ApplyOpen	0x0818bb60
TWS_ApplyRemove	0x0818bc20
TWS_ApplySetDayOutput	0x08197160
TWS_ApplySetTaskValue	0x0818aa20
TWS_ApplySetUseLevel	0x0818a930
TWS_ApplySetUseLevelSet	0x0818ab40
TWS_ApplyUpgrade	0x08196700
TWS_ApplyUse	0x0818b7f0
TWS_GetBuildingNpc	0x08196df0
TWS_GetDayOutput	0x08197240
TWS_GetFirstWorkshop	0x08190ab0
TWS_GetLevel	0x081976a0
TWS_GetNextWorkshop	0x0818c200
TWS_GetTaskValue	0x08196ca0
TWS_GetType	0x081977e0
TWS_GetUTaskValue	0x08196bf0
TWS_GetUseLevel	0x08197560
TWS_GetUseLevelSet	0x08197420
TWS_GetWorkshopCount	0x0818c3d0
TWS_IsExist	0x08196b90
TWS_IsOpen	0x08196d50
TWS_SetBuildingNpc	0x0818b150
TabFile_GetCell	0x0814a740
TabFile_GetColCount	0x0814a5e0
TabFile_GetRowCount	0x0814a690
TabFile_Load	0x0814aef0
TabFile_Save	0x0814a3a0
TabFile_Search	0x0814a960
TabFile_SetCell	0x0814a420
TabFile_UnLoad	0x0814b040
TableSDD_Close	0x081c2b30
TableSDD_GetHeight	0x081c30c0
TableSDD_GetValue	0x081c2fd0
TableSDD_Open	0x081c2c20
TableSDD_Search	0x081c2d10
TableSDD_SetValue	0x081c3140
TakeTantoGolds	0x08250931
Talk	0x08116930
TaskAward	0x08175370
TaskAwardMatrix	0x08175480
TaskCondition	0x081756d0
TaskConditionMatrix	0x081757e0
TaskEntity	0x08175520
TaskEntityMatrix	0x08175630
TaskEvent	0x08175880
TaskEventMatrix	0x08175990
TaskId	0x08175a30
TaskIdMatrix	0x08175b40
TaskName	0x08174cb0
TaskNo	0x08174740
TaskTalk	0x081751c0
TaskTalkMatrix	0x081752d0
TaskTip	0x08122730
TellPos	0x0810de10
TestScript	0x08129390
ThrowAllItem	0x0810bc30
Time2Tm	0x081021b0
TimerFuncForAutoHang	0x0812f640
Title_ActiveTitle	0x081596f0
Title_AddTitle	0x081597a0
Title_GetActiveTitle	0x081594a0
Title_GetTitleInfo	0x08159380
Title_GetTitleName	0x081594f0
Title_GetTitleTab	0x08159620
Title_RemoveTitle	0x081595a0
Tm2Time	0x08103ac0
TongClaimWar	0x08127590
TownPortalUseOut	0x082605a6
TrimString	0x080ff630
TripC_Apply	0x0810b3f0
TripC_GetServerCount	0x08101e50
TripC_GetServerName	0x08101da0
TripC_Kick	0x08101d50
TripS_Return	0x0810b3b0
UNBIND_ITEM	0x08256e98
UNKNOWN	0x082444c7
UnBindItem	0x08127730
UnMarry	0x0810ffd0
UnSmeltEquip	0x0810a7e0
UnSmeltIsBind	0x080ff160
UpdateSDBRecord	0x08101830
UpdateSkill	0x08114a10
UpgradeCryolite	0x0825ea47
UpgradeFantasyGold	0x0825eb64
UpgradePlatinaFromGoldItem	0x0811e480
UpgradePlatinaItem	0x0811e350
UpgradePropMine	0x0825ea57
UseSilver	0x0810f2d0
UseTownPortal	0x08117900
WATCH	0x08244489
WorldBossAppear	0x082605f7
WorldEnemyAppear	0x08260608
WorldKillerAppear	0x082605e7
WriteCompoundLog	0x081231d0
WriteGoldLog	0x081234a0
WriteLog	0x081237d0
WriteSaleLog	0x08123280
WriteStatLog	0x081232f0
WriteYunBiaoLog	0x08123130
_ALERT	0x0823df60
_ERRORMESSAGE	0x0823eb10
_INPUT	0x0826eb00
_OUTPUT	0x0826e51b
abs	0x08241000
acos	0x08241660
add	0x0826fee9
all	0x0826ebcf
and	0x0826daef
appendto	0x08240080
ascii	0x08241830
asin	0x082416a0
assert	0x0823dc00
atan	0x08241620
atan2	0x082415c0
break	0x0826f839
call	0x0823e940
ceil	0x08240fb0
clock	0x0823f8e0
closefile	0x08240e00
cn	0x0825cf0f
cn_ib	0x08250ad1
collate	0x0826ebd7
collectgarbage	0x0823e8f0
concat	0x0826de34
copytagmethods	0x0823e870
cos	0x08241720
ctype	0x0826ebdd
cur	0x08268f24
curpack	0x0823d220
date	0x08240710
dd	0x082444c7
ddddd	0x082444c7
dddddd	0x082444c7
ddss	0x082444c7
debug	0x0823f840
deg	0x08240f20
div	0x0826de25
do	0x0826f83c
dofile	0x0823e810
dostring	0x0823e770
else	0x0826f841
elseif	0x08268f24
end	0x0826f848
error	0x0823dbc0
execute	0x0823f7f0
exit	0x0823f7c0
exp	0x08241360
floor	0x08240f60
flush	0x08240bb0
for	0x0826da4c
foreach	0x0823e510
foreachi	0x0823d5c0
foreachvar	0x0823e510
format	0x08242d40
frexp	0x082414f0
function	0x08250931
gc	0x0826da4c
gcinfo	0x0823e6a0
getenv	0x0823f770
getglobal	0x0823e370
getinfo	0x0823f160
getlocal	0x0823f410
getn	0x0823d2c0
gettable	0x0826e52e
gettagmethod	0x0823e100
globals	0x0823e630
gsub	0x08242590
gt	0x0826e4b0
h0	0x09b9b221
h8	0x09ff2e00
hH	0x09fae7de
hP	0x09fcd241
hX	0x09fee670
hh	0x09c06b08
hp	0x09baaf88
hx	0x09fe0652
if	0x0826e929
index	0x0826e5da
ldexp	0x08241480
le	0x0826de37
local	0x0826ddab
log	0x082413e0
log10	0x082413a0
lt	0x0826de2d
mantle	0x0826a5f5
max	0x08241080
min	0x082410f0
mod	0x08241540
monetary	0x0826ebe6
mul	0x0826de21
my	0x08250ad4
newtag	0x0823e600
next	0x0823e4b0
nextvar	0x0823e4b0
nil	0x0826e28a
not	0x0826f849
number	0x0826f7fc
numeric	0x0825e584
ok	0x0826e585
openfile	0x0823ffc0
or	0x08270dcf
parameters	0x082444c7
pow	0x0826de29
print	0x0823e3b0
rad	0x08240ee0
random	0x08241160
randomseed	0x08241040
rawget	0x0823e320
rawgetglobal	0x0823e320
rawgettable	0x0823e320
rawset	0x0823db60
rawsetglobal	0x0823db60
rawsettable	0x0823db60
read	0x082408d0
readfrom	0x08240320
remove	0x0823f730
rename	0x0823f6d0
repeat	0x0826d913
return	0x0826f850
seek	0x08240c90
set	0x0826eb85
setbreakpointhook	0x0823eef0
setcallhook	0x0823ef50
setglobal	0x0823df10
setlinehook	0x0823ef20
setlocal	0x0823ed10
setlocale	0x0823f5a0
settable	0x0826f0eb
settag	0x0823e2b0
settagmethod	0x0823e1a0
signet	0x0826a5fc
sin	0x08241760
sort	0x0823dad0
sqrt	0x08241420
strbyte	0x08241830
strchar	0x08241b30
strfind	0x08242a10
string	0x0826e2e1
strlen	0x082418f0
strlower	0x08241d00
strrep	0x08241a60
strsub	0x08241dc0
strupper	0x08241c40
sub	0x0826de1d
t2t2d	0x082444c7
table	0x0826da4c
tag	0x0823dd10
tan	0x082416e0
then	0x0826f855
tinsert	0x0823d490
tmpname	0x0823f570
tonumber	0x0823dfb0
tostring	0x0823dd60
tremove	0x0823d360
tw	0x08250ace
type	0x0823dc80
unm	0x08253240
unpack	0x080ff9e0
until	0x0826f85b
usepack	0x0823d240
userdata	0x0826ddab
vn	0x08250ad7
while	0x08250931
write	0x08240340
writeto	0x08240300
zh	0x08250ace
