key	value
G_STR_ABATE_PRICE	Giá vật hiện tại:
G_STR_ABATE_BEGIN_DATE	giảm giá từ:
G_STR_TO	đến:
G_STR_SELL_BEGIN_DATE	Thời gian bán từ:
G_STR_ABATE_END	giảm giá đến:
G_STR_SELL_END	Thời gian bán đến:
G_STR_TEAMSHAREITEM_MODEPUNISH1	Thành viên nhóm %s nhặt được vật phẩm %s
G_STR_TEAMSHAREITEM_MODEPUNISH2	Nhận được vật phẩm chung của tổ đội: %s

K_S_GOLD	Kim
K_S_WOOD	Mộc
K_S_WATER	Thủy 
K_S_FIRE	Hỏa
K_S_EARTH	Thổ 

K_C_BEGIN	Tân Thủ
K_C_JUSTICE	Chánh phái
K_C_EVIL	Tà phái
K_C_BALANCE	Trung lập
K_C_FREE	Sát Thủ
K_C_ANIMAL	野兽
K_C_EVENT	路人

K_NPCRESNODE_0	đỉnh đầu 
K_NPCRESNODE_1	Dưới chân 
K_NPCRESNODE_2	Tuần hoàn
K_NPCRESNODE_3	bản đồ nhỏ 

K_NPC_0	tên Nhân vật 

K_REPAIRSCRIPT_FUNC_PRICE	get_repair_price
K_REPAIRSCRIPT_FUNC_REPAIR	repair_equip
K_CHAT_TEAM_DEFAULT_NAME	Hảo hữu
K_MATE_UNITNAME	Phối ngẫu\n
K_BROTHER_UNITNAME	Thân nhân\n
K_ENEMY_UNITNAME	Cừu nhân\n

K_PLAYERCHAT_0	%04d.%02d.%02d
K_PLAYERCHAT_1	%02d:%02d:%02d

K_SCRIPTFUNC_GetAutoExpValue	AEXP_GetHangExpValue
K_SCRIPTFUNC_AddAutoExp	AEXP_AddHangExp

K_WEAPON_DETAILTYPE	Loại hình cụ thể 

K_KIND_FILE_SECT1	tên file thuyết minh 
K_KIND_FILE_SECT2	Bảng thuộc tính vũ khí 1
K_KIND_FILE_SECT3	Bảng thuộc tính vũ khí 2
K_KIND_FILE_SECT4	hình vẽ thứ tự động tác 
K_KIND_FILE_SECT5	Đường dẫn file gốc 

K_WEAPON_PARTICULARTYPE	Loại hình chi tiết
K_WEAPON_SKILLID	Số hiệu kỹ năng vật lý tương ứng

K_MESSAGE_SYSTEM_ANNOUCE_HEAD	Công bố 
K_MESSAGE_ITEM_EXPIREDITEM1	Vật phẩm [%s] sau %d giờ %d phút đến hết thời hạn sử dụng. Qua thời hạn này hệ thống sẽ hủy bỏ đạo cụ này.
K_MESSAGE_ITEM_EXPIREDITEM2	Đạo cụ [%s] đã quá hạn sử dụng, hệ thống sẽ tự động hủy bỏ!
K_MESSAGE_CLOTHES_ITEM_LACK_DURABILITY	Đạo cụ ngoại trang [%s] của ngươi đã hết độ bền!

K_KIND_NAME_SECT	loại hình Nhân vật  
K_KIND_NAME_SPECIAL	NPC đặc thù  
K_KIND_NAME_NORMAL	NPC thường 

L_CANT_OPEN	无法打开%s
L_TONG_TAX	<%s>城区税收金额: %u\r\n

L_SHAREDATABASE_0	产生了一个宝物 %d, %d,%d\n
L_SHAREDATABASE_1	产生了一个幸运之星 %s  %d, %d,%d\n
L_SHAREDATABASE_2	产生了一个黄金怪物 %s  index = %d Sid=%d  %d, %d,%d\n

L_EXCEPT_EXCUTE_RS	Exception Have Caught When Execute Relay Script !!!!!

L_NPC_0	 [数值]%s受到%d点原始毒伤害
L_NPC_1	 [数值]%s受到%d点原始魔法伤害
L_NPC_2	 [数值]%s实际伤害：%d
L_NPC_3	 [数值]%s返回伤害%d
L_NPC_4	 [数值]%s魔法盾吸收比例：%d
L_NPC_5	 [数值]%s闪过攻击
L_NPC_6	[zroc]Npc(%d)ServerMove RegionIdx = %d
L_NPC_7	Packing sync data ok...\n
L_NPC_8	Packing sync data failed...\n
L_NPC_9	[Sync]%d:%s<%d> request to %d. size:%d
L_NPC_10	Packing player sync data ok...\n
L_NPC_11	Packing player sync data failed...\n
L_NPC_12	NpcID:%d  Life:%d\nRegionIndex:%d Pos:%d,%d\nPlayerNumber:%d\n
L_NPC_13	NpcNumber:\n%02d,%02d,%02d\n%02d,%02d,%02d\n%02d,%02d,%02d
L_NPC_14	 [数值]AttackRating %d: Defense %d: RandomPercent (%d, %d) 
L_NPC_15	 [error]致命错误,无法正确读取%s
L_NPC_16	载入Npc%d模板请求非法！
L_NPC_17	[Script]SetPos error:SubWorld:%d, Pos(%d, %d)
L_NPC_18	[Map]World%d haven't been loaded!
L_NPC_19	[Map]Change Pos(%d,%d) Invalid!
L_NPC_20	[DEATH]SetMode:%d
L_NPC_21	[DEATH] m_ProcessState: %d
L_NPC_22	[DEATH] m_bExchangeServer: %d
L_NPC_23	[DEATH] m_Doing: %d
L_NPC_24	[DEATH] WaitForFrame TRUE
L_NPC_25	[DEATH] WaitForFrame FALSE
L_NPC_26	[error]%s Region Index < 0 when hurt
L_NPC_27	[DEATH]On Hurt Finished
L_NPC_28	[error]%s Region Index < 0 when dorevive

L_NPC_29	被怪打死损失经验	%d\r\n
L_NPC_30	被怪打死损失金钱	%d\r\n
L_NPC_31	被玩家 [%s]打死损失经验	%d\r\n
L_NPC_32	被玩家 [%s]打死损失金钱	%d\r\n


L_NPCATTRIBM_0	 [数值]%s冰伤害增加 (%d) 
L_NPCATTRIBM_1	 [数值]%s火伤害增加 (%d) 
L_NPCATTRIBM_2	 [数值]%s电伤害增加 (%d) 
L_NPCATTRIBM_3	 [数值]%s所有物理攻击力增加百分之%d
L_NPCATTRIBM_4	 [数值]%s远程物理攻击力增加百分之%d
L_NPCATTRIBM_5	 [数值]%s空手物理攻击力增加百分之%d
L_NPCATTRIBM_6	 [数值]%s近程物理攻击力增加百分之%d
L_NPCATTRIBM_7	 [数值]%s近程武器%d物理攻击力增加百分之%d
L_NPCATTRIBM_8	 [数值]%s毒状态变为：间隔%d帧发作一次%d伤害，共持续%d帧
L_NPCATTRIBM_9	 [数值]%s物理伤害力增加 (%d) 
L_NPCATTRIBM_10	 [数值]%s五防抗性增加%d
L_NPCATTRIBM_11	 [数值]%s所有技能加%d级，未完成
L_NPCATTRIBM_12	 [数值]%s命中率增加百分之%d (%d点) 
L_NPCATTRIBM_13	 [数值]%s攻击速度增加%d
L_NPCATTRIBM_14	 [数值]%s施法速度增加%d
L_NPCATTRIBM_15	 [数值]%s当前阵营变为%d
L_NPCATTRIBM_16	 [数值]%s冰抗性增加了%d点
L_NPCATTRIBM_17	 [数值]%s致命一击百分比增加%d
L_NPCATTRIBM_18	 [数值]%s当前敏捷增加了%d点
L_NPCATTRIBM_19	 [数值]%s土系技能加%d级
L_NPCATTRIBM_20	 [数值]%s当前精力增加了%d点
L_NPCATTRIBM_21	 [数值]%s快速命中回复增加%d
L_NPCATTRIBM_22	 [数值]%s移动速度增加%d
L_NPCATTRIBM_23	 [数值]%s火系技能加%d级
L_NPCATTRIBM_24	[Giá trị] %s giảm %d thời gian làm chậm
L_NPCATTRIBM_25	 [数值]%s震退百分比增加%d
L_NPCATTRIBM_26	 [数值]%s生命上限增加了百分之%d (%d点) 
L_NPCATTRIBM_27	 [数值]%s生命上限增加了%d点
L_NPCATTRIBM_28	 [数值]%s生命回复速度增加了%d点
L_NPCATTRIBM_29	 [数值]%s生命增加了%d点
L_NPCATTRIBM_30	 [数值]%s电抗性增加了%d点
L_NPCATTRIBM_31	 [数值]%sMF值增加了%d,未完成
L_NPCATTRIBM_32	 [数值]%s内力上限增加了百分之%d (%d点) 
L_NPCATTRIBM_33	 [数值]%s内力上限增加了%d点
L_NPCATTRIBM_34	 [数值]%s内力回复速度增加了%d点
L_NPCATTRIBM_35	 [数值]%s内力增加了%d点
L_NPCATTRIBM_36	 [数值]%s吸收伤害百分比为%d，持续%d帧
L_NPCATTRIBM_37	 [数值]%s近程物理伤害反弹百分比增加%d
L_NPCATTRIBM_38	 [数值]%s近程物理伤害反弹增加%d
L_NPCATTRIBM_39	 [数值]%s金系技能加%d级, 未完成
L_NPCATTRIBM_40	 [数值]%s物理抗性增加了%d点
L_NPCATTRIBM_41	 [数值]%s伤害转内力百分比增加了%d
L_NPCATTRIBM_42	 [数值]%s中毒伤害减少%d
L_NPCATTRIBM_43	 [数值]%s毒抗性增加了%d点
L_NPCATTRIBM_44	 [数值]%s中毒时间减少百分之%d
L_NPCATTRIBM_45	 [数值]%s远程伤害反弹增加%d
L_NPCATTRIBM_46	 [数值]%s远程伤害反弹百分比增加%d
L_NPCATTRIBM_47	 [数值]%s子弹减速状态变为%d
L_NPCATTRIBM_48	 [数值]%s体力上限增加了百分之%d (%d点) 
L_NPCATTRIBM_49	 [数值]%s体力上限增加了%d点
L_NPCATTRIBM_50	 [数值]%s体力回复速度增加了%d点
L_NPCATTRIBM_51	 [数值]%s体力增加了%d点
L_NPCATTRIBM_52	 [数值]%s偷生命百分比为%d (比原本上升了%d点) 
L_NPCATTRIBM_53	 [数值]%s偷内力百分比为%d (比原本上升了%d点) 
L_NPCATTRIBM_54	 [数值]%s偷体力百分比为%d (比原本上升了%d点) 
L_NPCATTRIBM_55	 [数值]%s当前力量增加了%d点
L_NPCATTRIBM_56	 [数值]%s眩晕时间减少%d
L_NPCATTRIBM_57	 [数值]%s视野范围增加%d
L_NPCATTRIBM_58	 [数值]%s当前活力增加了%d点
L_NPCATTRIBM_59	 [数值]%s水系技能加%d级，未完成
L_NPCATTRIBM_60	 [数值]%s木系技能加%d级，未完成
L_NPCATTRIBM_61	 [数值]%s火抗性增加了%d点
L_NPCATTRIBM_62	 [数值]%s防御增加了%d点
L_NPCATTRIBM_63	 [数值]%s冰增强增加了%d点
L_NPCATTRIBM_64	 [数值]%s火增强增加了%d点
L_NPCATTRIBM_65	 [数值]%s电增强增加了%d点
L_NPCATTRIBM_66	 [数值]%s毒增强增加了%d点
L_NPCATTRIBM_67	 [数值]%s喝了补血药，获得%d帧内每10帧回复%d点生命的效果
L_NPCATTRIBM_68	 [数值]%s喝了补内力药，获得%d帧内每10帧回复%d点内力的效果
L_NPCATTRIBM_69	 [数值]%s物理抗性上限增加了%d点
L_NPCATTRIBM_70	 [数值]%s冰抗性上限增加了%d点
L_NPCATTRIBM_71	 [数值]%s火抗性上限增加了%d点
L_NPCATTRIBM_72	 [数值]%s电抗性上限增加了%d点
L_NPCATTRIBM_73	 [数值]%s毒抗性上限增加了%d点
L_NPCATTRIBM_74	 [数值]%s五防抗性上限增加%d
L_NPCATTRIBM_75	 [数值]%s眩晕百分比增加%d
L_NPCATTRIBM_76	 [数值]%s致命一击抗性增加%d
L_NPCATTRIBM_77	 [数值]%s物理伤害增加 (%d) 
L_NPCATTRIBM_78	 [数值]%s状态免疫状态变为%d
L_NPCATTRIBM_79	[Giá trị] %s tăng %d thời gian làm chậm
L_NPCATTRIBM_80	[Chỉ số] %s Long Khởi Vân Tương tăng %d
L_NPCATTRIBM_81	[Chỉ số ] %s NPC sát thương giảm miễn %d

L_NPCSET_0	文件载入失败：%s，请通知研发人员进行处理！
L_NPCSET_1	文件载入失败：%s
L_NPCSET_3	[Script]Npc %s,%d
L_NPCSET_4	[Request]Remove %d from %d on %d timeout
L_NPCSET_5	[Request]Insert %d at %d on %d
L_NPCSET_6	[Request]Remove %d from %d on %d
L_NPCSET_7	                 %d:AddNpc:%d\n
L_NPCSET_8	                 %d:RemoveNpc:%d %s\n
L_NPCSET_9	Error!!!NpcCount is Full!!Can Not Add Any More!\n


L_NPCTEMPLATE_0	无法找到%s\n
L_NPCTEMPLATE_1	 [%s]调用GetNpcLevelData函数的 传入参数 [%s]有误，请检查\n
L_NPCTEMPLATE_2	调用GetNpcLevelData函数的 传入参数 [%s]有误，请检查\n
L_NPCTEMPLATE_3	无找到该 [%s]魔法的Id,请检查！

L_PLAYER_1	[skill]right
L_PLAYER_2	[skill]left
L_PLAYER_3	[skill]return
L_PLAYER_4	SubWorld Fail.\n
L_PLAYER_5	NPC Fail.\n
L_PLAYER_6	player Packing sync data failed...\n
L_PLAYER_7	Load PlayerInfo Step %d Failed...\n
L_PLAYER_8	player Packing skill sync data failed...\n
L_PLAYER_9	 [数值]%s实际增加经验%d点
L_PLAYER_10	%s (%s) 在%d循环捡了%d两银子\n
L_PLAYER_11	%s\nSubWorld:%d\nReviveID:%d\nMpsX:%d\nMpsY:%d\n
L_PLAYER_12	%s [%s][%s] sell %s(%s)(count:%d) to [%s][%s], GenTime:%u\r\n
L_PLAYER_13	TradeTime: %d-%d %d:%d:%d\r\n\r\n
L_PLAYER_14	%d/%d/%d %d:%d:%d
L_PLAYER_15	%s\t%s\t%I64d\t%s\t%I64d\t%d\r\n
L_PLAYER_15_LINUX	%s\t%s\t%lld\t%s\t%lld\t%d\r\n
L_PLAYER_16	Account %s, Player %s UseSilver Type = %d, UseType = %d, Count = %d\n
L_PLAYER_17	Exception Have Caught When Execute Script[%d]!!!!!
L_PLAYER_18	 [trade]trade 与%s交易开始！
L_PLAYER_19	 [trade]trade 得到交易对方钱信息：%d
L_PLAYER_20	 [trade]trade 交易完成！
L_PLAYER_21	 [trade]trade 交易取消！

L_PLAYER_22	捡取物品\r\n
L_PLAYER_23	捡取金钱	%d\r\n
L_PLAYER_24	丢弃物品\r\n
L_PLAYER_25	玩家相互交易卖出物品给 [%s]\r\n
L_PLAYER_26	玩家相互交易对方账号 [%s]角色名 [%s]	收入：%d 支出：%d\r\n
L_PLAYER_27	Song phương giao dịch từ [%s] [%s] mua vào vật phẩm\r\n

L_PLAYERCHAT_0	 [chat]聊天数据包错误！
L_PLAYERCHAT_1	player Packing friend sync data failed...\n
L_PLAYERCHAT_2	player Packing friend 2 sync data failed...\n

L_PLAYERSET_0	SERVER:Player[%s] has been removed!
L_PLAYERSET_2	[error]Attach to a connected player named %s
L_PLAYERSET_3	[error]Find Guid to a disconnect player
L_PLAYERSET_4	%s 脚本无法加载，可能文件不存在或语法错误
L_PlayerSet_AutohangItem	%s 获得了 %s\n
L_PLAYER_TIRE_MSG1	Bạn đang trong giai đoạn mệt mỏi! Hiệu quả luyện công chỉ nhận được 50%! Xin hãy nghỉ ngơi, giữ gìn sức khỏe!
L_PLAYER_TIRE_MSG2	Bạn đã mệt mỏi! Không nhận được bất cứ hiệu quả luyện công nào! Xin hãy nghỉ ngơi, giữ gìn sức khỏe!
L_PLAYER_TIRE_MSG3	Bạn đã chơi liên tục 4 giờ 50 phút! Chỉ còn 10 phút để bạn chuẩn bị rời mạng! Xin hãy nghỉ ngơi, giữ gìn sức khỏe!
L_PLAYER_TIRE_MSG4	Bạn đã chơi liên tục 4 giờ 59 phút! Chỉ còn 1 phút để bạn chuẩn bị rời mạng!Xin hãy nghỉ ngơi, giữ gìn sức khỏe!
L_PLAYER_TIRE_MSG5	Hệ thống đã chặn không cho người chơi tiếp tục đăng nhập! Đợi hôm sau mới có thể chơi tiếp!
L_PLAYER_TIRE_MSG6	Bạn đã mệt mỏi, không thể tăng điểm tiềm năng!
L_PLAYER_TIRE_MSG7	Bạn đã mệt mỏi, không thể tăng điểm kỹ năng!
L_PLAYER_TIRE_MSG8	Bạn đã bắt đầu mệt mỏi! Không thể gia nhập hoặc rời khỏi bang hội!
L_PLAYER_TIRE_MSG9	Bạn đã mệt mỏi! 
L_PLAYER_TIRE_MSG10	Bạn đã mệt mỏi, không thể đối thoại với nhân vật này!
L_PLAYER_TIRE_MSG11	Bạn đã mệt mỏi! Không thể giao dịch với người khác!
L_PLAYER_TIRE_MSG12	Bạn đã mệt mỏi! Không thể mua bất cứ món gì!
L_PLAYER_TIRE_MSG13	Người này đang trong thời gian mệt mỏi, không thể bán hàng cho bạn!



L_PLAYERSTALL_0	Recv  c2s_stallmarkprice request
L_PLAYERSTALL_1	Recv  c2s_stallmakeadv request
L_PLAYERSTALL_2	Recv  c2s_stallstallbuyitem request
L_PLAYERSTALL_3	Recv  c2s_stallexit request
L_PLAYERSTALL_4	Recv  c2s_stallrequestadv request
L_PLAYERSTALL_5	Recv  c2s_stallrequestiteminfo request
L_PLAYERSTALL_6	In KPlayerStall::ProcessStallProtocol recv unknown protocol
L_PLAYERSTALL_7	In KPlayerStall construcotr
L_PLAYERSTALL_8	KPlayerStall::CheckItemPriceRange : some item price is not correctly\n
L_PLAYERSTALL_9	KPlayerStall::GetItemPrice : the item  %d don't exist\n
L_PLAYERSTALL_10	KPlayerStall::SetItemPrice : the item  %d don't exist\n
L_PLAYERSTALL_11	KPlayerStall::CheckMakeStallCondition : you are in fight area\n
L_PLAYERSTALL_12	KPlayerStall::CheckMakeStallCondition : No item in equitment room\n
L_PLAYERSTALL_13	KPlayerStall::CheckMakeStallCondition : Player is on horse\n
L_PLAYERSTALL_14	KPlayerStall::HasEnoughSpace : no enough space for Width = %d , Height = %d \n
L_PLAYERSTALL_15	KPlayerStall::HasEnoughMoney : no enough Money  %d  \n
L_PLAYERSTALL_16	KPlayerStall::HasThisItem : item haven't  existed , Itemidx = %d, nX = %d , nY = %d ,Price = %d  nIdx = %d\n
L_PLAYERSTALL_17	KPlayerStall::HasThisItem : item couldn't be sell\n
L_PLAYERSTALL_18	KPlayerStall::HasThisItem : price rise,now price is %d, your pay is %d  \n
L_PLAYERSTALL_19	KPlayerStall::HasThisItem : price down,now price is %d, your pay is %d  \n
L_PLAYERSTALL_20	KPlayerStall::c2sstallmarkprice : the item be priced number is error	
L_PLAYERSTALL_21	Recv markprice item list:	
L_PLAYERSTALL_22	Recv markprice protocol, but cann't fit the condition	
L_PLAYERSTALL_23	Recv markprice protocol, but some item has a error price	
L_PLAYERSTALL_24	KPlayerStall::c2sstallmarkprice : SellerID is 	
L_PLAYERSTALL_25	KPlayerStall::c2sstallmarkprice : SellerID is error	
L_PLAYERSTALL_26	Some marked item don't exist, something wrong??	
L_PLAYERSTALL_27	Set seller %d to Stall_Sell_State\n,	m_nPlayerIndex);
L_PLAYERSTALL_28	Recv  buy item info:	
L_PLAYERSTALL_29	SellID = %d, ItemID= %d \n	
L_PLAYERSTALL_30	StallLog (customer:)%s<%s> (seller:)%s<%s> TotalPrice:%d  Item:[%s %s] Count:%d\r\n	
L_PLAYERSTALL_31	 [Unknown Time]: %s<%s> 从 %s<%s> 处以 %d 的价格买走了 [%s]\r\n	
L_PLAYERSTALL_32	 [%s]的生成时间是 (%u) \r\n\r\n	
L_PLAYERSTALL_33	从 [Account:%s] [Name:%s]的摆摊买入物品	支出：%d [%s]收入：%d 税金：%d\r\n	

L_PlayerTrade_0	 [trade]trade 得到交易状态信息：己方锁定 %d ，对方锁定 %d，己方确定 %d，对方确定 %d	
L_BuySell_0	BuySell: %s buy idx error!
L_BuySell_1	%s (%s) 在%d循环卖了%s得到%d两银子\n
L_BuySell_2	从npc买入物品	支出金钱：%d\r\n
L_BuySell_3	从npc卖出物品	收入金钱：%d\r\n

L_ITEM_0	%s (%s) 的装备被非正常清除\n

L_ItemList_0	%s (%s) 获取%s (%s) 的装备%d\n
L_ItemList_1	[ITEM] ItemListIdx:%d, Item:%d, ItemId:%d
L_ItemList_2	%s (%s) 的装备%d清除时已经是%d所属的装备\n
L_ItemList_3	 [trade]trade 对方减少物品 id:%d  PosX:%d  PosY:%d  Width:%d  Height:%d
L_ItemList_4	 [trade]trade 此物品属性1 Genre:%d  Detail:%d  Particur:%d  Series:%d
L_ItemList_5	 [trade]trade 此物品属性2 Level:%d  Luck:%d  RandomSeed:%d  Version:%d  Durability:%d
L_ItemList_6	 [trade]trade 此物品属性3 MagicLevel: %d %d %d %d %d %d
L_ItemList_7	 [%s]设定储物箱密码！
L_ItemList_8	GM设定 [%s]的储物箱密码！
L_ItemList_9	 [%s]取消储物箱密码！
L_ItemList_10	GM取消 [%s]的储物箱密码！
L_ItemList_11	 [%s]修改储物箱密码！
L_ItemList_12	GM锁定 [%s]的储物箱！
L_ItemList_13	GM解锁 [%s]的储物箱！

L_ItemList_14	死亡掉落物品\r\n
L_ItemList_15	死亡掉落身上装备\r\n
L_ItemList_16	丢弃所有药品\r\n
L_ItemList_17	丢弃所有红药\r\n
L_ItemList_18	丢弃所有蓝药\r\n
L_ItemList_19	丢弃所有红蓝药\r\n
L_ItemList_20	丢弃所有白药\r\n
L_ItemList_21	丢弃所有绿药\r\n
L_ItemList_22	%s (%s) thanh vật phẩm %s (%d,%d,%d,%d,%d) xuất hiện lỗi, bị xóa bỏ\r\n

L_ItemSet_0	%s 载入失败，请检查设定文件并通知研发人员！

L_KLibOfBPT_0	 [魔法属性]%s五防抗性上限增加%d
L_KLibOfBPT_1	 [魔法属性]m_CMAIT [前缀后缀] [类型] [五行] [级别]\n
L_KLibOfBPT_2	 [魔法属性]m_CMAIT [%d] [%d] [%d] [%d]: Count = %3d, %s  \n

L_Core_0	无法打开\\settings\\gamesetting.ini文件 ，请检查!!\n
L_Core_1	 [Math]初始化数学函数失败!
L_Core_2	 [Script]脚本占空间为%d
L_Core_3	无法打开%s文件!!!\n
L_Core_4	人物模板数量%d
L_Core_7	%sNpc等级设定脚本无法加载，可能文件不存在或语法错误

L_ProtocolProcess_0	 [trade]trade 对方增加物品客户端添加失败!!!
L_ProtocolProcess_1	 [trade]trade 对方增加物品 id:%d  PosX:%d  PosY:%d
L_ProtocolProcess_2	 [trade]trade 此物品属性1 Genre:%d  quality:%d Detail:%d  Particur:%d  Series:%d
L_ProtocolProcess_3	 [trade]trade 此物品属性2 Level:%d  Luck:%d  RandomSeed:%d  Version:%d  Durability:%d

L_PLAYERDBFUN_0	[Error!]AddNpc Error DBFuns.cpp
L_PLAYERDBFUN_1	ItemSet:%d, Load item failed!\n
L_PLAYERDBFUN_2	[%s]\nPlayerName:(%s:%s)\tNpcName:(%s)\nMoney:(%d:%d)\nPos:(%d,%d,%d)\n
L_PLAYERDBFUN_3	ItemName:%s, Ver:%d, Rand:%d, ID:%d, Param:(%d,%d,%d), GenTime:%d, Lvl:%d, Series:%d, Local(%d:%d:%d), Magic(%d,%d,%d,%d,%d,%d), Luck:%d, Dur:%d, MaxDur:%d\n
L_PLAYERDBFUN_4	----\n%s\nItemList Index:%d\nItem Index:%d\nItem ID:%d\nItem Place:%d
L_PLAYERDBFUN_5	----\n MenuState: %d TradeState: %d

L_MissleSet_0	MissleSet Have Full!!!, It Maybe A Error!
L_MissleSet_1	[Missle]Missle%dAdd
L_MissleSet_2	[Missle]Missle%dRemove
L_MissleSet_3	[Missle]Count%d

L_SkillList_0	Npc的技能数量超过了限制50！！！，请检查!!!
L_SkillList_1	Param2PCoordinate函数获得参数违法！nParam1,nParam2 [%d,%d], nPX,nPY
L_SkillList_2	Skill::Cast(), nLauncher < 0 , Return False;
L_SkillList_3	Call Skill::Cast(), nWaitTime < 0 
L_SkillList_4	创建子弹贴图失败！！！%s

L_Skills_0	无法读取技能设定脚本文件%s，请确认是否文件存在或脚本语法有误！
L_Skills_1	致命错误！无法获得技能 [%s]的设定脚本，请检查是否存在或语法有误！\n
L_Skills_2	当获得该技能等级为%d（%s,%s）时，出错，请检查脚本!,

L_ScriptFuns_0	Error!Say脚本对话过长，请更正。%s

L_LuaFuns_0	无法找到指定的脚本对象

L_SortScript_0	 [脚本]加载脚本%s，出错，该脚本无法加载！！请检查！！
L_SortScript_1	 [脚本]严重错误!脚本数量超限制%d！请立即解决！！
L_SortScript_2	 [Script]脚本总容量超过%d,严重错误请检查!
L_SortScript_3	加载%s文件出错

L_CoreServerShell_0	 [error]网络接收协议大小不匹配
L_CoreServerShell_1	 [error]网络接收协议大小不匹配<%d>, should %d, but %d\n

L_GMCOMMAND_0	执行GM指令,发生异常!\n

MSG_GET_EXP	Bạn nhận được %I64d điểm kinh nghiệm. 
MSG_DEC_EXP	Bạntổn thất %I64d điểm kinh nghiệm. 
MSG_LEVEL_UP	Đẳng cấp của Bạn thăng lên đến %d. 
MSG_LEADER_LEVEL_UP	Đẳng cấp thống soái của Bạn thăng lên đến %d! 
MSG_GET_ATTRIBUTE_POINT	Bạn nhận được %d điểm tiềm năng! 
MSG_GET_SKILL_POINT	Bạn nhận được %d một kỹ năng điểm! 
MSG_GET_ATTRIBUTE_SKILL_POINT	Bạn nhận được %d điểm tiềm năng và %d một kỹ năng điểm! 
MSG_SKILL_BEYOND_ATTACKRADIUS	Bạn đứng cách tiêu điểm quá xa, trước mắt sử dụng võ công này sẽ không đủ hiệu nghiệm
MSG_GET_HALF_EXP	Bạn đang trong trại thái mỏi mệt, chỉ nhận được một nửa điểm kinh nghiệm %d điểm.

MSG_TEAM_AUTO_REFUSE_INVITE	Tự động cự tuyệt lời mời của người khác đối với nhóm của Bạn 
MSG_TEAM_NOT_AUTO_REFUSE_INVITE	Hiển thị người khác đang mời nhóm của Bạn 
MSG_TEAM_SEND_INVITE	 Bạn %s phát ra lời mời các nhóm
MSG_TEAM_CANT_INVITE	Người mới chơi không thể mời được người của tổ đội khác
MSG_TEAM_GET_INVITE	%s mời tổ đội của Bạn! 
MSG_TEAM_REFUSE_INVITE	%s cự tuyệt lời mời của nhóm Bạn! 
MSG_TEAM_CREATE	Bạn sáng lập nên một nhóm mới
MSG_TEAM_CREATE_FAIL	Sáng lập nhóm thất bại. 
MSG_TEAM_CANNOT_CREATE	Bạn hiện giờ không thể lập nhóm 
MSG_TEAM_CANNOT_LEAVE	Bạn không thể rời đội!
MSG_TEAM_CANNOT_KICK	Bạn không thể khai trừ đội!
MSG_TEAM_TARGET_CANNOT_ADD_TEAM	Đối phương hiện giờ không thể lập nhóm
MSG_TEAM_OPEN	nhóm của Bạn hiện giờ không được phép tiếp nhận thêm hội viên mới
MSG_TEAM_CLOSE	nhóm của Bạn hiện giờ không được phép tiếp nhận thêm hội viên mới
MSG_TEAM_ADD_MEMBER	%s trở thành bằng hữu của nhóm Bạn. 
MSG_TEAM_SELF_ADD	nhóm của Bạn %s gia nhập. 
MSG_TEAM_DISMISS_CAPTAIN	Bạn đã giải tán nhóm của mình
MSG_TEAM_DISMISS_MEMBER	%s giải tán nhóm! 
MSG_TEAM_KICK_ONE	%s bị khai trừ khỏi nhóm
MSG_TEAM_BE_KICKEN	 Bạn bị khai trừ khỏi nhóm
MSG_TEAM_APPLY_ADD	%s xin phép gia nhập nhóm! 
MSG_TEAM_APPLY_ADD_SELF_MSG	nhóm của Bạn xin phép %s gia nhập! 
MSG_TEAM_LEAVE	%s rời khỏi nhóm. 
MSG_TEAM_LEAVE_SELF_MSG	nhóm mà Bạn %s rời khỏi. 
MSG_TEAM_CHANGE_CAPTAIN_FAIL1	Đảm nhận nhóm trưởng thất bại! 
MSG_TEAM_CHANGE_CAPTAIN_FAIL2	%s không đủ sức thống soái! 
MSG_TEAM_CHANGE_CAPTAIN_FAIL3	nhóm của Bạn không thể chuyển giao cho người mới 
MSG_TEAM_CHANGE_CAPTAIN	%s được bổ nhiệm làm Đội trưởng!
MSG_TEAM_CHANGE_CAPTAIN_SELF	Bạn được %s đảm nhận là nhóm trưởng! 
MSG_TEAM_AUTO_CAPTAIN_SELF	Bạn được hệ thống chỉ định là nhóm trưởng! 
MSG_TEAM_AUTO_CAPTAIN	%s được hệ thống chỉ định là nhóm trưởng! 
MSG_TEAM_ERROR01	nhóm trưởng do hệ thống chỉ định, không thể tăng thêm thành viên nhóm! 
MSG_TEAM_ERROR02	nhóm trưởng do hệ thống chỉ định, không thể đuổi người khỏi nhóm! 
MSG_TEAM_ERROR03	nhóm trưởng do hệ thống chỉ định, không thể đảm nhận tân nhóm trưởng! 
MSG_TEAM_ERROR04	nhóm trưởng do hệ thống chỉ định, không thể mời người khác gia nhập nhóm! 
MSG_TEAM_ERROR05	nhóm trưởng do hệ thống chỉ định, không thể mở rộng nhóm! 

MSG_CHAT_APPLY_ADD_FRIEND	 Bạn đến %s xin phép được kết giao. 
MSG_CHAT_FRIEND_HAD_IN	%s đã được nhận làm bẳng hữu. 
