Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	½Å±¾Ãû(²ÎÊı1)	¼¼ÄÜID£¨²ÎÊı1£©	²ÎÊı2(ÊÍ·¨ÀàĞÍ)	²ÎÊı3(ÊÇ·ñ¹ã²¥)	²ÎÊı4(ÊÇ·ñÓĞµÈ¼¶¸ÅÄî)	²ÎÊı5(ÊÇ·ñ¿É·Å¿ì½İÀ¸)
MËt ®å "§ång hµnh luyÖn cÊp" 107	6	1	553	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Chu Tiªn trÊn giÕt 100 con Heo tr¾ng		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 108	6	1	554	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Chu Tiªn trÊn giÕt 150 con Heo tr¾ng		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 109	6	1	555	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Ba L¨ng HuyÖn giÕt 50 con Kim Miªu.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 110	6	1	556	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Ba L¨ng HuyÖn giÕt 100 con Kim Miªu.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 111	6	1	557	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Ba L¨ng HuyÖn giÕt 150 con Kim Miªu.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 112	6	1	558	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Nam Nh¹c trÊn giÕt 50 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 113	6	1	559	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Nam Nh¹c trÊn giÕt 100 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 114	6	1	560	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Nam Nh¹c trÊn giÕt 150 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 115	6	1	561	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §µo Hoa Viªn giÕt 50 con H­¬u ®èm, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 116	6	1	562	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §µo Hoa Viªn giÕt 100 con H­¬u ®èm, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 117	6	1	563	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §µo Hoa Viªn giÕt 150 con H­¬u ®èm, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 118	6	1	564	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Hoµnh s¬n  ph¸i giÕt 50 con Kim §iªu, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 119	6	1	565	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Hoµnh s¬n  ph¸i giÕt 100 con Kim §iªu, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 120	6	1	566	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Hoµnh s¬n  ph¸i giÕt 150 con Kim §iªu, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 121	6	1	567	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thiªn V­¬ng s¬n  ®éng giÕt 50 con Kim Miªu,§ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 122	6	1	568	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thiªn V­¬ng s¬n  ®éng giÕt 100 con Kim Miªu,§ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 123	6	1	569	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thiªn V­¬ng s¬n  ®éng giÕt 150 con Kim Miªu,§ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 124	6	1	570	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn tÇng 1 §éng §×nh Hå giÕt 50 con c¸ sÊu, §ång hµnh tõ cÊp 45 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 125	6	1	571	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn tÇng 1 §éng §×nh Hå giÕt 100 con c¸ sÊu, §ång hµnh tõ cÊp 45 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 126	6	1	572	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn tÇng 1 §éng §×nh Hå giÕt 150 con c¸ sÊu, §ång hµnh tõ cÊp 45 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 127	6	1	573	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thanh Loa ®¶o giÕt 50 tªn Lam C©n, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 128	6	1	574	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thanh Loa ®¶o giÕt 100 tªn Lam C©n, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 129	6	1	575	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thanh Loa ®¶o giÕt 150 tªn Lam C©n, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 130	6	1	576	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thanh Loa ®¶o s¬n  ®éng giÕt 50 tªn ThiÕt Tr¶o, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 131	6	1	577	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thanh Loa ®¶o s¬n  ®éng giÕt 100 tªn ThiÕt Tr¶o, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 132	6	1	578	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thanh Loa ®¶o s¬n  ®éng giÕt 150 tªn ThiÕt Tr¶o, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 133	6	1	579	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Vò l¨ng s¬n  giÕt 50 con Th­¬ng ¦ng, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 134	6	1	580	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Vò l¨ng s¬n  giÕt 100 con Th­¬ng ¦ng, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 135	6	1	581	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Vò l¨ng s¬n  giÕt 150 con Th­¬ng ¦ng, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 136	6	1	582	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn B¹ch Thñy ®éng giÕt 50 tªn §ång Chïy, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 137	6	1	583	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn B¹ch Thñy ®éng giÕt 100 tªn §ång Chïy, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 138	6	1	584	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn B¹ch Thñy ®éng giÕt 150 tªn §ång Chïy, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 139	6	1	585	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §¹i Tï ®éng giÕt 50 tªn §ång Chïy, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 140	6	1	586	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §¹i Tï ®éng giÕt 100 tªn §ång Chïy, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 141	6	1	587	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §¹i Tï ®éng giÕt 150 tªn §ång Chïy, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 142	6	1	588	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phôc L­u ®éng giÕt 50 con c¸ sÊu, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 143	6	1	589	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phôc L­u ®éng giÕt 100 con c¸ sÊu, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 144	6	1	590	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phôc L­u ®éng giÕt 150 con c¸ sÊu, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 145	6	1	591	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Miªu LÜnh giÕt 50 con Tr©u rõng, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 146	6	1	592	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Miªu LÜnh giÕt 100 con Tr©u rõng, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 147	6	1	593	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Miªu LÜnh giÕt 150 con Tr©u rõng, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 148	6	1	594	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Kho¶ Lang ®éng giÕt 50 tªn Lang Bæng, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 149	6	1	595	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Kho¶ Lang ®éng giÕt 100 tªn Lang Bæng, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 150	6	1	596	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Kho¶ Lang ®éng giÕt 150 tªn Lang Bæng, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 151	6	1	597	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn S¬n B¶o ®éng giÕt 50 con Háa Viªm Hæ, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 152	6	1	598	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn S¬n B¶o ®éng giÕt 100 con Háa Viªm Hæ, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 153	6	1	599	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn S¬n B¶o ®éng giÕt 150 con Háa Viªm Hæ, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 154	6	1	600	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn YÕn Tö ®éng giÕt 50 con D¬i, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 155	6	1	601	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn YÕn Tö ®éng giÕt 100 con D¬i, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 156	6	1	602	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn YÕn Tö ®éng giÕt 150 con D¬i, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 157	6	1	603	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Vò L¨ng ®éng giÕt 50 tªn KÕ Chñy, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 158	6	1	604	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Vò L¨ng ®éng giÕt 100 tªn KÕ Chñy, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 159	6	1	605	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Vò L¨ng ®éng giÕt 150 tªn KÕ Chñy, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 160	6	1	606	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn T­¬ng D­¬ng giÕt 50 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 161	6	1	607	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn T­¬ng D­¬ng giÕt 100 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 162	6	1	608	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn T­¬ng D­¬ng giÕt 150 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 163	6	1	609	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn T­¬ng D­¬ng mËt ®¹o giÕt 50 tªn §ao Binh, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 164	6	1	610	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn T­¬ng D­¬ng mËt ®¹o giÕt 100 tªn §ao Binh, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 165	6	1	611	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn T­¬ng D­¬ng mËt ®¹o giÕt 150 tªn §ao Binh, §ång hµnh tõ cÊp 55 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 166	6	1	612	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn D­¬ng Ch©u giÕt 50 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 167	6	1	613	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn D­¬ng Ch©u giÕt 100 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 168	6	1	614	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn D­¬ng Ch©u giÕt 150 con nhİm, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 169	6	1	615	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Háa Lang ®éng giÕt 50 con Th­¬ng H©n, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 170	6	1	616	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Háa Lang ®éng giÕt 100 con Th­¬ng H©n, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 171	6	1	617	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Háa Lang ®éng giÕt 150 con Th­¬ng H©n, §ång hµnh tõ cÊp 15 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 172	6	1	618	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phôc Ng­u s¬n  giÕt 50 con Sãi xanh, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 173	6	1	619	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phôc Ng­u s¬n  giÕt 100 con Sãi xanh, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 174	6	1	620	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phôc Ng­u s¬n  giÕt 150 con Sãi xanh, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 175	6	1	621	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Kª Qu¸n ®éng giÕt 50 con Háa V©n Hæ, §ång hµnh tõ cÊp 35 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 176	6	1	622	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Kª Qu¸n ®éng giÕt 100 con Háa V©n Hæ, §ång hµnh tõ cÊp 35 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 177	6	1	623	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Kª Qu¸n ®éng giÕt 150 con Háa V©n Hæ, §ång hµnh tõ cÊp 35 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 178	6	1	624	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thôc C­¬ng ®¬n giÕt 50 con KhØ X¸m, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 179	6	1	625	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thôc C­¬ng ®¬n giÕt 100 con KhØ X¸m, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 180	6	1	626	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Thôc C­¬ng ®¬n giÕt 150 con KhØ X¸m, §ång hµnh tõ cÊp 25 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 181	6	1	627	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn TiÕn Cóc ®éng giÕt 50 tªn §ao kh¸ch, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 182	6	1	628	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn TiÕn Cóc ®éng giÕt 100 tªn §ao kh¸ch, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 183	6	1	629	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn TiÕn Cóc ®éng giÕt 150 tªn §ao kh¸ch, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 184	6	1	630	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Linh Cèc ®éng giÕt 50 con GÊu n©u, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 185	6	1	631	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Linh Cèc ®éng giÕt 100 con GÊu n©u, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 186	6	1	632	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Linh Cèc ®éng giÕt 150 con GÊu n©u, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 187	6	1	633	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §¹o H­¬ng th«n giÕt 50 con Heo tr¾ng		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 188	6	1	634	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §¹o H­¬ng th«n giÕt 100 con Heo tr¾ng		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 189	6	1	635	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn §¹o H­¬ng th«n giÕt 150 con Heo tr¾ng		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 190	6	1	636	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Méc Nh©n H¹ng giÕt 50 tªn Méc Nh©n, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 191	6	1	637	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Méc Nh©n H¹ng giÕt 100 tªn Méc Nh©n, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 192	6	1	638	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Méc Nh©n H¹ng giÕt 150 tªn Méc Nh©n, §ång hµnh tõ cÊp 5 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 193	6	1	639	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn ThiÕu L©m mËt thÊt giÕt 50 tªn §ång Nh©n, §ång hµnh tõ cÊp 35 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 194	6	1	640	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn ThiÕu L©m mËt thÊt giÕt 100 tªn §ång Nh©n, §ång hµnh tõ cÊp 35 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 195	6	1	641	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn ThiÕu L©m mËt thÊt giÕt 150 tªn §ång Nh©n, §ång hµnh tõ cÊp 35 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 196	6	1	642	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phi Thiªn ®éng giÕt 50 tªn KÕ Chñy, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 197	6	1	643	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phi Thiªn ®éng giÕt 100 tªn KÕ Chñy, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 198	6	1	644	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phi Thiªn ®éng giÕt 150 tªn KÕ Chñy, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 199	6	1	645	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phong l¨ng §é giÕt 50 tªn ThÇn Tı, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 200	6	1	646	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Phong l¨ng §é giÕt 100 tªn ThÇn Tı, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
