Level	MagAttr1	Param1	Param2	Param3	spr	MagAttr2	Param1	Param2	Param3	spr	MagAttr3	Param1	Param2	Param3	spr	MagAttr4	Param1	Param2	Param3	spr
88	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
89	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
90	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
91	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
92	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
93	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
94	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
95	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
96	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
97	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
98	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
99	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
100	enhancehit_rate	8	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	50	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	47	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	12	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
101	enhancehit_rate	9	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	51	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	48	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	13	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
102	enhancehit_rate	9	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	52	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	48	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	13	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
103	enhancehit_rate	9	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	53	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	49	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	13	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
104	enhancehit_rate	9	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	54	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	49	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	13	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
105	enhancehit_rate	9	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	55	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	50	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	13	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
106	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	56	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	50	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
107	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	57	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	51	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
108	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	58	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	51	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
109	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	59	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
110	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
111	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
112	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
113	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
114	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
115	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
116	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
117	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
118	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
119	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
120	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
121	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
122	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
123	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
124	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
125	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
126	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
127	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
128	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
129	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
130	enhancehit_rate	10	-1	-1	\spr\Ui\技能图标\companion\bumieshayi.spr	skill_enhance	60	-1	-1	\spr\Ui\技能图标\companion\yingoutiehua.spr	allres_yan_p	52	-1	-1	\spr\Ui\技能图标\companion\wuxingwuxiang.spr	block_rate	14	-1	-1	\spr\Ui\技能图标\companion\jingangbupo.spr
