chuyen_lua4_54: 2986 tep .lua, 135 tep co thay doi
  ESCAPE=17, FORIN=142, LSTR=0, NUMKW=1, UPVAL=415, VARARG=41

protocol.lua:105  for key, v in self.KE_SCRIPT_PROTOCOL -> pairs(self.KE_SCRIPT_PROTOCOL)
missions/leaguematch/npc/helper.lua:80  for n_idx, tb_fmt in WLLS_REG_TABLE -> pairs(WLLS_REG_TABLE)
missions/leaguematch/npc/helper.lua:110  for n_idx, tb_fmt in WLLS_REG_TABLE -> pairs(WLLS_REG_TABLE)
missions/leaguematch/npc/helper.lua:156  for n_idx, tb_fmt in WLLS_REG_TABLE -> pairs(WLLS_REG_TABLE)
missions/leaguematch/npc/helper.lua:188  for n, tb_fmt in WLLS_REG_TABLE -> pairs(WLLS_REG_TABLE)
missions/leaguematch/npc/helper.lua:319  for n_idx, tb_fmt in WLLS_REG_TABLE -> pairs(WLLS_REG_TABLE)
missions/leaguematch/npc/helper.lua:349  for n_idx, tb_fmt in WLLS_REG_TABLE -> pairs(WLLS_REG_TABLE)
missions/leaguematch/npc/helper.lua:412  for n_idx, tb_fmt in WLLS_REG_TABLE -> pairs(WLLS_REG_TABLE)
missions/tongcastle/castleplayer.lua:32  %PlayerFunLib -> PlayerFunLib
missions/tongcastle/castleplayer.lua:32  %TSK_STAY_TIME -> TSK_STAY_TIME
missions/tongcastle/game.lua:48  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/game.lua:57  for key, value in self.tbTrapList -> pairs(self.tbTrapList)
missions/tongcastle/game.lua:63  for key, value in self.tbNpcTypeList -> pairs(self.tbNpcTypeList)
missions/tongcastle/game.lua:81  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/game.lua:117  for key, value in self -> pairs(self)
missions/tongcastle/game.lua:130  function(...) -> + local arg = {n=select('#',...), ...}
missions/tongcastle/game.lua:131  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/game.lua:143  for szType, tbId in self.tbRegId -> pairs(self.tbRegId)
missions/tongcastle/game.lua:145  for nMapId, _ in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/game.lua:166  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/game.lua:173  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/guideperson.lua:100  %szDlgText -> szDlgText
missions/tongcastle/guideperson.lua:139  %tbGuideNpc -> tbGuideNpc
missions/tongcastle/guideperson.lua:140  %tbGuideNpc -> tbGuideNpc
missions/tongcastle/guideperson.lua:142  %tbGuideNpc -> tbGuideNpc
missions/tongcastle/guideperson.lua:148  %tbGuideNpcInside -> tbGuideNpcInside
missions/tongcastle/guideperson.lua:149  %tbGuideNpcInside -> tbGuideNpcInside
missions/tongcastle/guideperson.lua:151  %tbGuideNpcInside -> tbGuideNpcInside
missions/tongcastle/guideperson.lua:164  %tbCity -> tbCity
missions/tongcastle/guideperson.lua:182  %tbCity -> tbCity
missions/tongcastle/guideperson.lua:189  %tbTranPos -> tbTranPos
missions/tongcastle/guideperson.lua:189  %tbTranPos -> tbTranPos
missions/tongcastle/guideperson.lua:198  %MSG_PLAYER_LIMIT -> MSG_PLAYER_LIMIT
missions/tongcastle/guideperson.lua:202  %JOIN_TONG_TIME -> JOIN_TONG_TIME
missions/tongcastle/guideperson.lua:203  %MSG_PLAYER_LIMIT -> MSG_PLAYER_LIMIT
missions/tongcastle/guideperson.lua:212  %TSK_SAVE_DATE -> TSK_SAVE_DATE
missions/tongcastle/guideperson.lua:213  %TSK_SAVE_DATE -> TSK_SAVE_DATE
missions/tongcastle/guideperson.lua:214  %TSK_TREEPOINT -> TSK_TREEPOINT
missions/tongcastle/guideperson.lua:229  %AWARD_STATE_TIME -> AWARD_STATE_TIME
missions/tongcastle/guideperson.lua:229  %AWARD_END_TIME -> AWARD_END_TIME
missions/tongcastle/guideperson.lua:234  %MIN_STAY_TIME -> MIN_STAY_TIME
missions/tongcastle/guideperson.lua:235  %MIN_STAY_TIME -> MIN_STAY_TIME
missions/tongcastle/guideperson.lua:239  %PlayerFunLib -> PlayerFunLib
missions/tongcastle/guideperson.lua:239  %TSK_GET_AWARD -> TSK_GET_AWARD
missions/tongcastle/guideperson.lua:262  %PlayerFunLib -> PlayerFunLib
missions/tongcastle/guideperson.lua:262  %TSK_GET_AWARD -> TSK_GET_AWARD
missions/tongcastle/guideperson.lua:266  %TSK_TREEPOINT -> TSK_TREEPOINT
missions/tongcastle/guideperson.lua:266  %TSK_TREEPOINT -> TSK_TREEPOINT
missions/tongcastle/guideperson.lua:285  %TSK_TREEPOINT -> TSK_TREEPOINT
missions/tongcastle/guideperson.lua:289  %tbTreeItem -> tbTreeItem
missions/tongcastle/guideperson.lua:290  %tbTreeItem -> tbTreeItem
missions/tongcastle/guideperson.lua:291  %tbTreeItem -> tbTreeItem
missions/tongcastle/guideperson.lua:303  %TSK_TREEPOINT -> TSK_TREEPOINT
missions/tongcastle/guideperson.lua:309  %tbTreeItem -> tbTreeItem
missions/tongcastle/guideperson.lua:310  %tbTreeItem -> tbTreeItem
missions/tongcastle/guideperson.lua:314  %TSK_TREEPOINT -> TSK_TREEPOINT
missions/tongcastle/tongcastle.lua:228  for key, value in self.tbNpcTypeList -> pairs(self.tbNpcTypeList)
missions/tongcastle/tongcastle.lua:233  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/tongcastle.lua:316  for szRoomName, _ in self.tbRoomCondition -> pairs(self.tbRoomCondition)
missions/tongcastle/tongcastle.lua:339  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/tongcastle.lua:512  %TSK_STAY_TIME -> TSK_STAY_TIME
missions/tongcastle/tongcastle.lua:514  %TSK_STAY_TIME -> TSK_STAY_TIME
missions/tongcastle/tongcastle.lua:526  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/tongcastle.lua:530  %tbCity -> tbCity
missions/tongcastle/tongcastle.lua:531  for szPlayerName, tbPlayer in self.tbPlayerList[nMapId] -> pairs(self.tbPlayerList[nMapId])
missions/tongcastle/tongcastle.lua:631  %tbCity -> tbCity
missions/tongcastle/tongcastle.lua:666  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/tongcastle.lua:691  for nNpcIndex, dwNpcId in tbTmp.tbInfo -> pairs(tbTmp.tbInfo)
missions/tongcastle/tongcastle.lua:762  %tbCity -> tbCity
missions/tongcastle/tongcastle.lua:824  for nNpcIndex, dwNpcId in tbTmp.tbInfo -> pairs(tbTmp.tbInfo)
missions/tongcastle/tongcastle.lua:882  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/tongcastle.lua:884  for szPlayerName, _ in self.tbPlayerList[nMapId] -> pairs(self.tbPlayerList[nMapId])
missions/tongcastle/tongcastle.lua:898  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/tongcastle.lua:917  for nMapId, _ in %tbCity -> pairs(tbCity)
missions/tongcastle/tongcastle.lua:1010  for nMapId, bFlag in self.tbMapList -> pairs(self.tbMapList)
missions/tongcastle/tongcastle.lua:1030  %tbCity -> tbCity
missions/tongcastle/tongcastle.lua:1034  %tbCity -> tbCity
missions/tongcastle/treedeath.lua:46  %tbMapList -> tbMapList
missions/tongcastle/treedeath.lua:47  %tbTreePrice -> tbTreePrice
missions/tongcastle/treedeath.lua:54  %JOIN_TONG_TIME -> JOIN_TONG_TIME
missions/tongcastle/treedeath.lua:117  for szNpcName, _ in TongCastle.tbNpcTypeList -> pairs(TongCastle.tbNpcTypeList)
missions/tongwar/tongwar_main.lua:9  function(...) -> + local arg = {n=select('#',...), ...}
missions/tongwar/match/head.lua:166  function(...) -> + local arg = {n=select('#',...), ...}
missions/tongwar/relay/tongwar.lua:228  for i, tb in TONGWAR_SEASON_TB -> pairs(TONGWAR_SEASON_TB)
missions/tongwar/relay/tongwar.lua:254  for strCityTongName, tbCity in tbTongSet -> pairs(tbTongSet)
missions/yandibaozang/doubleexp.lua:15  %tbDouble -> tbDouble
missions/yandibaozang/doubleexp.lua:16  %tbDouble -> tbDouble
missions/yandibaozang/npc_death.lua:23  for x1, y1 in YDBZ_tbaward_item[ntype] -> pairs(YDBZ_tbaward_item[ntype])
missions/yandibaozang/saizi.lua:74  for index, value in t -> pairs(t)
missions/yandibaozang/item/yandimibao.lua:28  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:34  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:40  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:46  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:52  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:78  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:84  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:90  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:96  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:102  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:108  %tbvng_ChestExpAward -> tbvng_ChestExpAward
missions/yandibaozang/item/yandimibao.lua:166  %TransLife6 -> TransLife6
missions/yandibaozang/item/yandimibao.lua:166  %TASK_ID_BOX -> TASK_ID_BOX
missions/yandibaozang/npc/yandibaozang_main.lua:28  %ndebug -> ndebug
missions/yandibaozang/readymap/ready.lua:22  for k, v in self -> pairs(self)
missions/yandibaozang/readymap/ready.lua:60  %nPak -> nPak
missions/yandibaozang/readymap/ready.lua:77  for nMapId, _ in self.tbMapId -> pairs(self.tbMapId)
missions/yandibaozang/readymap/ready.lua:182  for szName, nPartyId in self.tbPlayer -> pairs(self.tbPlayer)
missions/yandibaozang/readymap/ready.lua:187  for nPartyId, v in tbPartyMap -> pairs(tbPartyMap)
missions/yandibaozang/readymap/ydbz_maphook.lua:31  for k, v in ReadyMap -> pairs(ReadyMap)
npcthon/npcmonphai/caibang.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/conlon.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/duongmon.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/hoason.lua:4  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/ngami.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/ngudoc.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/thiennhan.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/thienvuong.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/thieulam.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/thuyyen.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/tieudao.lua:4  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/vodang.lua:7  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
npcthon/npcmonphai/vuhon.lua:4  "\\script\\npcthon\\npcmonphai\FactionHelper.lua" -> "\\script\\npcthon\\npcmonphaiFactionHelper.lua"
petsys/bikip.lua:49  %CANCEL -> CANCEL
petsys/delete.lua:11  %tbSecurityLock -> tbSecurityLock
petsys/delete.lua:11  %tbSecurityLock -> tbSecurityLock
petsys/delete.lua:18  %CONFIRM -> CONFIRM
petsys/delete.lua:19  %CANCEL -> CANCEL
petsys/delete.lua:20  %DELETE_TITLE -> DELETE_TITLE
petsys/feature.lua:9  %CHANGE_FEATURE_COIN -> CHANGE_FEATURE_COIN
petsys/feature.lua:10  %NOT_ENOUGH_COIN -> NOT_ENOUGH_COIN
petsys/feature.lua:10  %CHANGE_FEATURE_COIN -> CHANGE_FEATURE_COIN
petsys/feature.lua:14  %CHANGE_FEATURE_DLG1_TITLE -> CHANGE_FEATURE_DLG1_TITLE
petsys/feature.lua:18  %CHANGE_FEATURE_DLG1_TITLE -> CHANGE_FEATURE_DLG1_TITLE
petsys/feature.lua:24  %PET_LEVEL_STEP -> PET_LEVEL_STEP
petsys/feature.lua:27  %PET_LEVEL_STEP -> PET_LEVEL_STEP
petsys/feature.lua:27  %PET_LEVEL_STEP -> PET_LEVEL_STEP
petsys/feature.lua:30  %END_DLG -> END_DLG
petsys/feature.lua:40  %PET_LEVEL_STEP -> PET_LEVEL_STEP
petsys/feature.lua:46  %BACK -> BACK
petsys/feature.lua:47  %END_DLG -> END_DLG
petsys/feature.lua:52  %CHANGE_FEATURE_COIN -> CHANGE_FEATURE_COIN
petsys/feature.lua:53  %NOT_ENOUGH_COIN -> NOT_ENOUGH_COIN
petsys/feature.lua:53  %CHANGE_FEATURE_COIN -> CHANGE_FEATURE_COIN
petsys/feature.lua:56  %CHANGE_FEATURE_COIN -> CHANGE_FEATURE_COIN
petsys/feature.lua:62  %MSG_CHANGE_FEATURE -> MSG_CHANGE_FEATURE
petsys/feature.lua:63  %tbLog -> tbLog
petsys/levelup.lua:30  %MAX_LEVEL -> MAX_LEVEL
petsys/levelup.lua:31  %LEVEL_LIMIT -> LEVEL_LIMIT
petsys/levelup.lua:45  %NOT_ENOUGH_POINT -> NOT_ENOUGH_POINT
petsys/levelup.lua:50  %tbLevelUpNeedItem -> tbLevelUpNeedItem
petsys/levelup.lua:50  %NOT_ENOUGH_LEVEL_UP_ITEM -> NOT_ENOUGH_LEVEL_UP_ITEM
petsys/levelup.lua:55  %LEVEL_UP_RATE_TITLE -> LEVEL_UP_RATE_TITLE
petsys/levelup.lua:57  %CONFIRM -> CONFIRM
petsys/levelup.lua:58  %CANCEL -> CANCEL
petsys/levelup.lua:63  %tbLevelUpNeedItem -> tbLevelUpNeedItem
petsys/levelup.lua:63  %NOT_ENOUGH_LEVEL_UP_ITEM -> NOT_ENOUGH_LEVEL_UP_ITEM
petsys/levelup.lua:66  %tbLevelUpNeedItem -> tbLevelUpNeedItem
petsys/levelup.lua:70  %LEVEL_UP_FAIL -> LEVEL_UP_FAIL
petsys/levelup.lua:71  %tbLog -> tbLog
petsys/levelup.lua:91  %LEVEL_UP_SUCCESS -> LEVEL_UP_SUCCESS
petsys/levelup.lua:92  %tbLog -> tbLog
petsys/levelup.lua:102  %tbLevelUpAttr -> tbLevelUpAttr
petsys/levelup.lua:104  %attrInitValue -> attrInitValue
petsys/name.lua:10  %CHANGE_NAME_COIN -> CHANGE_NAME_COIN
petsys/name.lua:11  %NOT_ENOUGH_COIN -> NOT_ENOUGH_COIN
petsys/name.lua:11  %CHANGE_NAME_COIN -> CHANGE_NAME_COIN
petsys/name.lua:15  %CHANGE_NAME_TITLE -> CHANGE_NAME_TITLE
petsys/name.lua:20  %SENSITIVE_NAME -> SENSITIVE_NAME
petsys/name.lua:24  %CHANGE_NAME_COIN -> CHANGE_NAME_COIN
petsys/name.lua:25  %NOT_ENOUGH_COIN -> NOT_ENOUGH_COIN
petsys/name.lua:25  %CHANGE_NAME_COIN -> CHANGE_NAME_COIN
petsys/name.lua:29  %CHANGE_NAME_COIN -> CHANGE_NAME_COIN
petsys/name.lua:30  %PET_SetName -> PET_SetName
petsys/name.lua:34  %CHANGE_NAME_SUCCESS -> CHANGE_NAME_SUCCESS
petsys/name.lua:35  %tbLog -> tbLog
petsys/name.lua:35  %PET_GetLevel -> PET_GetLevel
petsys/petbox.lua:24  for k, v in PETEQUIP_DEF -> pairs(PETEQUIP_DEF)
petsys/petcard.lua:12  %MSG_NOT_ENOUGH_LEVEL -> MSG_NOT_ENOUGH_LEVEL
petsys/petcard.lua:12  %MIN_LEVEL -> MIN_LEVEL
petsys/petcard.lua:18  %ALREADY_CREATE_PET -> ALREADY_CREATE_PET
petsys/petcard.lua:22  %PET_LEVEL_STEP -> PET_LEVEL_STEP
petsys/petcard.lua:32  %ALREADY_SKILL_PET -> ALREADY_SKILL_PET
petsys/petequip.lua:13  "\settings\petsys\attribname.txt" -> "settingspetsys\attribname.txt"
petsys/petequip.lua:58  for k, v in tbDem -> pairs(tbDem)
petsys/petequip.lua:135  %CANCEL -> CANCEL
petsys/petequip.lua:145  %CANCEL -> CANCEL
petsys/summon.lua:7  %ALREADY_SUMMON -> ALREADY_SUMMON
petsys/summon.lua:20  %FORBID_SUMMON -> FORBID_SUMMON
petsys/transferexp.lua:16  %NOT_ENOUGH_EXP -> NOT_ENOUGH_EXP
petsys/transferexp.lua:21  %NOT_ENOUGH_EXP -> NOT_ENOUGH_EXP
petsys/xiuzhen.lua:48  %CANCEL -> CANCEL
skill/npc/chunniu.lua:347  %SKILLS -> SKILLS
skill/npc/chunniu.lua:350  %SKILLS -> SKILLS
skill/npc/chunniu.lua:353  %SKILLS -> SKILLS
skill/npc/chunniu.lua:354  %SKILLS -> SKILLS
skill/npc/chunniu.lua:356  %SKILLS -> SKILLS
skill/npc/chunniu.lua:357  %SKILLS -> SKILLS
skill/npc/chunniu.lua:359  %SKILLS -> SKILLS
skill/npc/chunniu.lua:360  %SKILLS -> SKILLS
skill/npc/chunniu.lua:362  %SKILLS -> SKILLS
skill/npc/chunniu.lua:363  %SKILLS -> SKILLS
skill/npc/chunniu.lua:364  %SKILLS -> SKILLS
startgame/tinhnang/tongkim/songjin_shophead.lua:140  %tbProduct -> tbProduct
startgame/tinhnang/tongkim/songjin_shophead.lua:160  %tbProduct -> tbProduct
task/task_addplayerexp.lua:16  %NTRANSLIFE_MAX -> NTRANSLIFE_MAX
task/metempsychosis/translife_5.lua:48  %nChuanguanLimit -> nChuanguanLimit
task/metempsychosis/translife_5.lua:65  %nYDBZguoguanLimit -> nYDBZguoguanLimit
task/metempsychosis/translife_5.lua:97  %nFinishSongJin -> nFinishSongJin
task/metempsychosis/translife_5.lua:109  %TSK_Longxuewan_avail -> TSK_Longxuewan_avail
task/metempsychosis/translife_5.lua:121  %tbAwardItem -> tbAwardItem
task/metempsychosis/translife_5.lua:121  %nAwardCount -> nAwardCount
task/metempsychosis/translife_5.lua:121  %tbAwardItem -> tbAwardItem
task/metempsychosis/translife_5.lua:131  %nTranslifeCount -> nTranslifeCount
task/metempsychosis/translife_5.lua:131  %nLevelLimit -> nLevelLimit
task/metempsychosis/translife_5.lua:143  %nTranslifeCount -> nTranslifeCount
task/metempsychosis/translife_5.lua:144  %nTranslifeCount -> nTranslifeCount
task/metempsychosis/translife_5.lua:148  %nLevelLimit -> nLevelLimit
task/metempsychosis/translife_5.lua:149  %nLevelLimit -> nLevelLimit
task/metempsychosis/translife_5.lua:198  %TRANSLIFE5_SKILL -> TRANSLIFE5_SKILL
task/metempsychosis/translife_6.lua:68  %TASK_V_FINISH -> TASK_V_FINISH
task/metempsychosis/translife_6.lua:93  %ITEM_TRANSLIFE_JADE -> ITEM_TRANSLIFE_JADE
task/metempsychosis/translife_6.lua:93  %ITEM_TRANSLIFE_JADE -> ITEM_TRANSLIFE_JADE
task/metempsychosis/translife_6.lua:93  %ITEM_TRANSLIFE_JADE -> ITEM_TRANSLIFE_JADE
task/metempsychosis/translife_6.lua:98  %ITEM_TRANSLIFE_JADE -> ITEM_TRANSLIFE_JADE
task/metempsychosis/translife_6.lua:98  %ITEM_TRANSLIFE_JADE -> ITEM_TRANSLIFE_JADE
task/metempsychosis/translife_6.lua:98  %ITEM_TRANSLIFE_JADE -> ITEM_TRANSLIFE_JADE
task/metempsychosis/translife_6.lua:112  %TASK_V_FINISH -> TASK_V_FINISH
task/metempsychosis/translife_6.lua:121  %TASK_V_ACCEPT -> TASK_V_ACCEPT
task/metempsychosis/translife_6.lua:121  %TASK_V_COUNT_BASE -> TASK_V_COUNT_BASE
task/metempsychosis/translife_6.lua:126  %TASK_V_ACCEPT -> TASK_V_ACCEPT
task/metempsychosis/translife_6.lua:137  %TASK_V_COUNT_BASE -> TASK_V_COUNT_BASE
task/metempsychosis/translife_6.lua:138  %TASK_V_FINISH -> TASK_V_FINISH
task/metempsychosis/translife_6.lua:143  %TASK_V_NONE -> TASK_V_NONE
task/metempsychosis/translife_6.lua:154  %ITEM_FUSHENGWAN -> ITEM_FUSHENGWAN
task/metempsychosis/translife_6.lua:154  %ITEM_FUSHENGWAN -> ITEM_FUSHENGWAN
task/metempsychosis/translife_6.lua:154  %ITEM_FUSHENGWAN -> ITEM_FUSHENGWAN
task/metempsychosis/translife_6.lua:154  %ITEM_FUSHENGWAN -> ITEM_FUSHENGWAN
task/metempsychosis/translife_6.lua:158  %ITEM_FUSHENGWAN -> ITEM_FUSHENGWAN
task/metempsychosis/translife_6.lua:158  %ITEM_FUSHENGWAN -> ITEM_FUSHENGWAN
task/metempsychosis/translife_6.lua:158  %ITEM_FUSHENGWAN -> ITEM_FUSHENGWAN
task/metempsychosis/translife_6.lua:158  %ITEM_FUSHENGWAN -> ITEM_FUSHENGWAN
task/metempsychosis/translife_6.lua:163  %TASK_V_FINISH -> TASK_V_FINISH
task/metempsychosis/translife_6.lua:170  %TASK_V_NONE -> TASK_V_NONE
task/metempsychosis/translife_6.lua:170  %TASK_V_FINISH -> TASK_V_FINISH
task/metempsychosis/translife_6.lua:173  %TASK_V_COUNT_BASE -> TASK_V_COUNT_BASE
task/metempsychosis/translife_6.lua:183  %TASK_ID_SONGJIN -> TASK_ID_SONGJIN
task/metempsychosis/translife_6.lua:184  %TASK_ID_SONGJIN -> TASK_ID_SONGJIN
task/metempsychosis/translife_6.lua:190  %TASK_ID_COT -> TASK_ID_COT
task/metempsychosis/translife_6.lua:192  %TASK_ID_COT -> TASK_ID_COT
task/metempsychosis/translife_6.lua:198  %TASK_ID_YANDI -> TASK_ID_YANDI
task/metempsychosis/translife_6.lua:199  %TASK_ID_YANDI -> TASK_ID_YANDI
task/metempsychosis/translife_6.lua:204  %TASK_ID_FLD -> TASK_ID_FLD
task/metempsychosis/translife_6.lua:206  %TASK_ID_FLD -> TASK_ID_FLD
task/metempsychosis/translife_6.lua:221  %tbTL6MainDlg -> tbTL6MainDlg
task/metempsychosis/translife_6.lua:225  %tbAcceptTaskDlg -> tbAcceptTaskDlg
task/metempsychosis/translife_6.lua:229  %tbFinishTaskDlg -> tbFinishTaskDlg
task/metempsychosis/translife_6.lua:233  %tbFinishTaskItemDlg -> tbFinishTaskItemDlg
task/metempsychosis/translife_6.lua:242  %TASK_V_NONE -> TASK_V_NONE
task/metempsychosis/translife_6.lua:244  %TASK_V_FINISH -> TASK_V_FINISH
task/metempsychosis/translife_6.lua:246  %TASK_V_COUNT_BASE -> TASK_V_COUNT_BASE
task/metempsychosis/translife_6.lua:249  %TASK_V_COUNT_BASE -> TASK_V_COUNT_BASE
task/metempsychosis/translife_6.lua:257  %TL6_MSG -> TL6_MSG
task/metempsychosis/translife_6.lua:264  %CreateNewSayEx -> CreateNewSayEx
task/metempsychosis/translife_6.lua:299  %TRANSLIFE5_SKILL -> TRANSLIFE5_SKILL
task/metempsychosis/translife_6.lua:300  %TRANSLIFE5_SKILL -> TRANSLIFE5_SKILL
task/metempsychosis/translife_6.lua:301  %TRANSLIFE5_SKILL_ENHANCE -> TRANSLIFE5_SKILL_ENHANCE
task/system/task_string.lua:41  function(...) -> + local arg = {n=select('#',...), ...}
task/tollgate/killer/shashou_mibao.lua:17  %n_XuanTian_Chui -> n_XuanTian_Chui
task/tollgate/killer/shashou_mibao.lua:18  %n_XuanTian_Chui -> n_XuanTian_Chui
task/tollgate/killer/shashou_mibao.lua:21  %n_XuanTian_Chui -> n_XuanTian_Chui
task/tollgate/messenger/messenger_turerukou.lua:82  %get_task_order -> get_task_order
task/tollgate/messenger/posthouse.lua:495  %get_task_daily -> get_task_daily
task/tollgate/messenger/posthouse.lua:517  %add_task_daily -> add_task_daily
task/tollgate/messenger/posthouse.lua:524  %get_task_daily -> get_task_daily
task/tollgate/messenger/posthouse.lua:1110  %get_task_daily -> get_task_daily
task/tollgate/messenger/qianbaoku/enemy_tureboss.lua:44  %add_task_step -> add_task_step
task/tollgate/messenger/qianbaoku/messenger_baoxiangtask.lua:20  %nOpendRequire -> nOpendRequire
task/tollgate/messenger/qianbaoku/messenger_baoxiangtask.lua:21  %nBaoXiangTotal -> nBaoXiangTotal
task/tollgate/messenger/qianbaoku/messenger_baoxiangtask.lua:54  %nBaoXiangTotal -> nBaoXiangTotal
task/tollgate/messenger/qianbaoku/messenger_baoxiangtask.lua:58  %nOpendRequire -> nOpendRequire
task/tollgate/messenger/qianbaoku/messenger_baoxiangtask.lua:80  %nOpendRequire -> nOpendRequire
task/tollgate/messenger/qianbaoku/messenger_baoxiangtask.lua:84  %nOpendRequire -> nOpendRequire
tinhnang/3hoatdong/hd3_driver.lua:88  "\tollgate\killer\\" -> "\tollgatekiller\\"
vng_event/change_request_baoruong/exp_award.lua:94  for key, val in self.tbBitTask -> pairs(self.tbBitTask)
vng_event/change_request_baoruong/exp_award.lua:95  %tbVNG_BitTask_Lib -> tbVNG_BitTask_Lib
vng_event/change_request_baoruong/exp_award.lua:98  %tbVNG_BitTask_Lib -> tbVNG_BitTask_Lib
vng_event/change_request_baoruong/exp_award.lua:105  %tbVNG_BitTask_Lib -> tbVNG_BitTask_Lib
vng_event/change_request_baoruong/exp_award.lua:111  %tbVNG_BitTask_Lib -> tbVNG_BitTask_Lib
vng_event/change_request_baoruong/exp_award.lua:120  %tbVNG_BitTask_Lib -> tbVNG_BitTask_Lib
vng_event/thapnienlenhbai/mainfuc.lua:12  for i, v in self.TASK_ID_MAP[nTransLife][nEventId] -> pairs(self.TASK_ID_MAP[nTransLife][nEventId])
vng_event/thapnienlenhbai/mainfuc.lua:20  for i, v in self.TASK_INFOR_ABOUNT[nEventId] -> pairs(self.TASK_INFOR_ABOUNT[nEventId])
vng_event/thapnienlenhbai/mainfuc.lua:35  for _, v in self.TASK_ID_MAP[nTransLife][nEventId] -> pairs(self.TASK_ID_MAP[nTransLife][nEventId])
vng_event/thapnienlenhbai/mainfuc.lua:43  for _, v in self.TASK_INFOR_ABOUNT[nEventId] -> pairs(self.TASK_INFOR_ABOUNT[nEventId])
vng_lib/vngtranslog.lua:20  function(...) -> + local arg = {n=select('#',...), ...}
vng_lib/vngtranslog.lua:31  %tbVngFactionName -> tbVngFactionName
vng_lib/vngtranslog.lua:38  %tbVngLib_File -> tbVngLib_File
Î÷ÄÏ±±Çø/½­½ò´å/Ö°ÄÜnpc/ÔÂÀÏ.lua:97  function(...) -> + local arg = {n=select('#',...), ...}
